"","h=3","h=6","h=12","h=18","h=24"
"1",0.0836933333333333,0.0616166666666665,0.0383399999999999,0.0734899999999998,0.0137633333333333
"2",0.0394100000000001,0.00366666666666667,-0.0245366666666667,0.0588299999999999,-0.0156233333333333
"3",0.05194,0.0355633333333333,-0.0149466666666667,0.0789733333333333,0.114196666666667
"4",0.11702,0.09108,0.0664733333333333,0.11648,0.0709766666666667
"5",0.0466966666666668,0.0634266666666669,0.0229033333333334,0.0512066666666668,0.0557766666666668
"6",0.0776800000000001,0.05283,0.05018,-0.01072,0.00168333333333334
"7",0.0736666666666668,0.0614399999999999,0.0779800000000001,0.0147999999999999,0.0719466666666666
"8",0.0636333333333334,0.0355733333333333,0.0470366666666666,0.0113833333333333,0.04077
"9",0.0556266666666668,0.0587100000000001,0.0750766666666669,0.0260000000000001,0.0498766666666668
"10",0.0763600000000001,0.0901400000000004,0.0650300000000001,0.03827,0.06292
"11",0.0983300000000002,0.11306,0.0966033333333335,0.0797266666666668,0.0672566666666666
"12",0.11281,0.10471,0.097696666666667,0.103576666666667,0.0987400000000002
"13",0.0965833333333336,0.0893466666666668,0.0860600000000002,0.0846433333333333,0.0931833333333334
"14",0.124073333333334,0.10481,0.116823333333334,0.112933333333334,0.123046666666667
"15",0.112526666666667,0.118293333333334,0.140443333333334,0.107813333333334,0.146330000000001
"16",0.13398,0.11111,0.115856666666667,0.0776333333333334,0.127346666666667
"17",0.102113333333334,0.112346666666667,0.10476,0.0657599999999999,0.117816666666667
"18",0.15746,0.0956566666666668,0.16514,0.098096666666667,0.127996666666667
"19",0.106373333333334,0.104593333333334,0.116493333333334,0.0798133333333333,0.140956666666667
"20",0.0917733333333334,0.0925466666666668,0.0846866666666667,0.0625466666666665,0.08015
"21",0.0788366666666667,0.0780533333333334,0.0604033333333333,0.0486933333333333,0.0468299999999999
"22",0.0307966666666667,0.0446233333333332,0.0838766666666667,0.0381633333333333,0.0262766666666666
"23",0.02887,0.04782,0.0857133333333334,-0.00665666666666664,0.00703333333333334
"24",0.0444166666666665,0.05164,0.0879,0.0473299999999999,0.0318533333333333
"25",0.0271633333333333,0.0501466666666665,0.0567199999999999,0.0493166666666666,0.0537633333333332
"26",0.0431533333333331,0.0443399999999998,0.0759899999999999,0.0584799999999999,0.065263333333333
"27",0.0239199999999999,0.02149,0.0505633333333332,0.04409,0.0390733333333332
"28",-0.0177933333333334,-0.0149633333333333,0.00749000000000001,0.00549333333333337,-0.00948333333333328
"29",-0.03128,-0.0376099999999999,-0.00824999999999995,-0.00873666666666663,-0.0174966666666666
"30",-0.00769666666666663,-0.0475599999999998,-0.0418866666666665,-0.0466566666666665,-0.0698799999999997
"31",-0.0501933333333334,-0.0665066666666667,-0.0610433333333333,-0.0116233333333334,-0.0503066666666666
"32",-0.0380333333333333,-0.04745,-0.0555933333333333,-0.00520999999999997,-0.0195133333333333
"33",-0.0424566666666666,-0.00982666666666669,-0.0383899999999999,0.00258000000000004,-0.0394833333333333
"34",-0.0194466666666667,-0.0362233333333334,0.00552333333333334,-0.0163233333333334,-0.0225966666666667
"35",0.00820333333333329,0.0111366666666666,-0.00529333333333334,0.02368,0.01557
"36",0.0228133333333333,0.0342899999999999,0.0132133333333333,0.0557466666666664,0.0314433333333333
"37",-0.00628000000000005,0.0392566666666668,0.0280566666666668,0.0437233333333333,0.03907
"38",-0.0164466666666667,0.00210333333333324,-0.03048,-0.0107033333333333,-0.0271366666666667
"39",-0.0790400000000002,0.0122366666666666,-0.0204133333333334,-0.00114000000000003,0.00193999999999993
"40",-0.0625766666666667,-0.0311733333333334,-0.0347266666666667,0.0132866666666667,0.01835
"41",-0.0689999999999999,-0.01516,-0.0591066666666666,-0.0310666666666666,-0.0134466666666667
"42",-0.0846566666666666,-0.0785433333333333,-0.0621199999999998,-0.03618,-0.0341799999999999
"43",-0.11603,-0.101616666666667,-0.105416666666667,-0.0873433333333334,-0.0814433333333334
"44",-0.0600066666666666,-0.0850966666666668,-0.0396499999999998,-0.0573033333333332,-0.0402266666666666
"45",0.0106933333333333,-0.0494833333333334,-0.0289633333333333,-0.0140333333333334,0.0194566666666666
"46",-0.01619,-0.0120233333333333,0.0242033333333334,0.00758333333333342,0.0180166666666667
"47",-0.00330666666666662,-0.07201,-0.0395599999999999,-0.0403833333333332,-0.0449233333333332
"48",-0.0574433333333333,-0.0249800000000001,-0.0596433333333334,-0.0538666666666668,-0.03972
"49",-0.03342,-0.0438399999999999,-0.0979266666666667,-0.10433,-0.0661833333333332
"50",0.0122899999999999,0.00432666666666665,-0.0595066666666667,-0.0423866666666668,-0.0300433333333333
"51",-0.0433033333333334,-0.0494033333333333,-0.0794733333333333,-0.0386433333333333,-0.01181
"52",-0.0195833333333334,-0.00622666666666667,-0.0603433333333333,-0.0422699999999999,-0.00868666666666665
"53",-0.0495966666666667,-0.0319566666666667,-0.0676399999999999,-0.0621433333333333,-0.0536099999999999
"54",-0.0478666666666668,-0.0497866666666668,-0.0310466666666667,-0.0589233333333334,-0.0689400000000002
"55",-0.0621833333333333,-0.0705833333333333,-0.0431833333333333,-0.0833133333333334,-0.0845700000000002
"56",-0.0896500000000003,-0.02923,-0.05398,-0.10035,-0.113586666666667
"57",-0.0837066666666669,-0.0520366666666667,-0.08465,-0.100266666666667,-0.0867000000000002
"58",-0.06203,-0.0759566666666669,-0.0759500000000002,-0.106180000000001,-0.0950200000000004
"59",-0.0715533333333335,-0.0537433333333334,0.00495999999999997,-0.0695366666666667,-0.0561466666666667
"60",-0.0769066666666667,-0.0907700000000001,-0.0149666666666666,-0.0786366666666668,-0.0968400000000001
"61",-0.0512333333333333,-0.0404433333333334,0.000710000000000052,-0.0666333333333334,-0.06077
"62",-0.0560400000000001,-0.0437866666666667,-0.00401333333333341,-0.0762600000000002,-0.0907300000000004
"63",-0.06089,-0.0632233333333333,-0.0331400000000001,-0.0995066666666669,-0.0774633333333334
"64",-0.0756600000000003,-0.0661066666666668,-0.0586233333333335,-0.0635400000000002,-0.0869100000000003
"65",-0.0433266666666666,-0.00164000000000006,-0.0639366666666668,-0.0637633333333335,-0.0666866666666668
"66",-0.0687699999999999,-0.06838,-0.0613766666666667,-0.0726266666666667,-0.0803333333333333
"67",-0.07591,-0.0821,-0.0586566666666666,-0.0354733333333334,-0.0689466666666667
"68",-0.102783333333334,-0.0962100000000003,-0.0902400000000003,-0.0824266666666668,-0.0959166666666669
"69",-0.0844066666666668,-0.0711233333333334,-0.0713433333333334,-0.0515933333333333,-0.0628599999999999
