"","pub_date","L2_LRHUTTTT","L1_BCCI","L1_BRCI","L1_BSCI","L1_CSCICP02","L3_XTEXVA01","L3_XTIMVA01","L1_AEX","L1_AEXVLT"
"49",1990-02-15,6.4,2.3,29.8,-0.6,6.4,2.72916512934837,2.68985603100071,5.39101559174562,0.0117652615441646
"50",1990-03-15,6.3,4.5,26.6,0.6,5.3,2.74199995122519,2.68105897632225,5.33117469619373,0.0114303429291895
"51",1990-04-15,6.3,0.6,29.2,-0.6,6.1,2.71785296721826,2.69763708827756,5.41140470529055,0.00923455404286449
"52",1990-05-15,6.2,-3,31.1,0,5.4,2.72096683719723,2.68364506260483,5.38038765593225,0.00959486392360834
"53",1990-06-15,6.2,-2.9,32.6,0.8,4.9,2.72155433253623,2.67839797178169,5.4067950180747,0.00553997330870969
"54",1990-07-15,6.1,-2,27.7,1,5.1,2.69651095923689,2.6394602042769,5.42056042181581,0.00446049214498304
"55",1990-08-15,6.1,-0.7,29.6,-0.3,4.3,2.69969976619297,2.74662904870018,5.38942300664923,0.00557580126598423
"56",1990-09-15,6,-1.6,27.3,-0.6,1,2.74454303609624,2.68312086863556,5.25093549742898,0.019770145821808
"57",1990-10-15,6,-1.9,28.4,-0.6,-1.4,2.74348576523321,2.67984676875504,5.14407175858867,0.0122547494097098
"58",1990-11-15,6,0.5,22.4,-2.2,-3.2,2.7311156618521,2.69887040217602,5.17116016625375,0.0151067388216938
"59",1990-12-15,5.9,-0.4,25,-2.1,-6.3,2.73515711285301,2.71110863711029,5.15875775880717,0.00842023331551908
"60",1991-01-15,5.9,1.9,23,-1.4,-5.2,2.77434602930621,2.69266504037531,5.16114437812892,0.00823748249920611
"61",1991-02-15,5.9,-0.4,21.8,-2.5,-9.9,2.7363022191035,2.69653213794541,5.17980876370355,0.015766387701426
"62",1991-03-15,5.8,-3.5,23.6,-4.2,-9.9,2.72516919104992,2.66670953368262,5.27450045817208,0.0103211029090142
"63",1991-04-15,5.8,-4,22.5,-2.9,-5.3,2.74248202441546,2.67788305261766,5.34588252764964,0.00943669296658986
"64",1991-05-15,5.8,-3.5,21.5,-5.8,-7.9,2.7295733512043,2.69789864537924,5.35145728962333,0.00938652732953018
"65",1991-06-15,5.8,-6.3,20.3,-4.9,-5.9,2.76857637182319,2.6699073280168,5.35654414498523,0.00649154893048544
"66",1991-07-15,5.7,-7.4,15.2,-5.6,-5.9,2.72205318225971,2.70641186922549,5.32706108701701,0.00612708412534213
"67",1991-08-15,5.7,-5.4,21.1,-6,-8.1,2.74505022519815,2.69538553110197,5.33569404544734,0.00488303175980152
"68",1991-09-15,5.7,-9.8,23.4,-4.9,-8.9,2.74483560122904,2.68099556261215,5.33010251620498,0.0127965006449538
"69",1991-10-15,5.7,-10.4,19.2,-4.2,-8,2.7781108247536,2.76090409491231,5.29784952822323,0.00309772432946061
"70",1991-11-15,5.7,-8.4,22,-6.3,-10.4,2.75032787083847,2.66389441578764,5.30257175882238,0.0056636185734201
"71",1991-12-15,5.7,-8.9,20.7,-4.1,-9.4,2.72197879327871,2.68685965772714,5.30350994210258,0.00865880125108324
"72",1992-01-15,5.6,-10.5,20.5,-4.6,-8.8,2.72836432595348,2.66508247003615,5.31437184128139,0.00707060813145782
"73",1992-02-15,5.6,-8.4,19.7,-3.4,-9.2,2.73942684289881,2.67392451375295,5.37827944045288,0.00672843271785622
"74",1992-03-15,5.6,-11.6,20.7,-3.5,-9.9,2.69928073343482,2.68077795923927,5.40946144342597,0.00439350360999463
"75",1992-04-15,5.6,-14.6,16.2,-5.5,-9.1,2.7227926782541,2.66540116242326,5.39442182110731,0.0045817525837769
"76",1992-05-15,5.6,-12,17,-4.3,-8.9,2.74016935926599,2.70244101103268,5.42720063471752,0.00591713588645673
"77",1992-06-15,5.6,-12,18.9,-6.1,-8.4,2.68186463962234,2.68962360173146,5.43911362536806,0.0057836491796919
"78",1992-07-15,5.6,-15.4,12.9,-5.5,-4.9,2.74306280001832,2.65690084493455,5.39110112022933,0.00615910118913229
"79",1992-08-15,5.7,-17.5,14.3,-8.2,-4.8,2.71235875934854,2.66203774206896,5.34099877534269,0.00908761052965029
"80",1992-09-15,5.7,-16.8,14.9,-5.7,-3.5,2.6851136478998,2.64951320971786,5.29982952159878,0.0109022597314926
"81",1992-10-15,5.8,-16.4,11.9,-7.7,-3.6,2.73888415283476,2.69650229827568,5.32212619229068,0.0104470415796292
"82",1992-11-15,5.8,-19.2,8.9,-7.4,-5.2,2.65691008852023,2.63539966522836,5.27552636501123,0.0102747418951543
"83",1992-12-15,5.9,-18.3,4.7,-12.9,-7.7,2.66183120804291,2.60572329545256,5.29200337429327,0.00562772270803635
"84",1993-01-15,5.9,-14.4,11.5,-13.3,-9.5,2.68444856927074,2.62834042580824,5.32296362395129,0.00535228751455944
"85",1993-02-15,6,-14.8,10.3,-12.5,-7,2.65411779620073,2.61617737986112,5.34411396496568,0.00535546616330194
"86",1993-03-15,6.1,-12.1,9,-13.4,-7.4,2.63379168306131,2.6073583054193,5.38494658607721,0.00551092939312827
"87",1993-04-15,6.2,-17.2,7,-13.4,-10.8,2.67917785282385,2.62185765010072,5.4190685912038,0.00657329458844416
"88",1993-05-15,6.3,-17.7,8,-13.7,-10.2,2.67556821384487,2.59634019942901,5.40125421188034,0.0057642934863401
"89",1993-06-15,6.4,-17.2,8.1,-14.4,-12.6,2.67280758311012,2.59360245466104,5.38372475979559,0.00638037754075405
"90",1993-07-15,6.4,-16.5,7.8,-13.6,-11.6,2.67672664332372,2.56364229476104,5.43776012085175,0.00520307670080475
"91",1993-08-15,6.5,-17,7,-12.4,-12.3,2.68877900096757,2.57645778504545,5.47572677856166,0.00674247645140118
"92",1993-09-15,6.6,-18.5,11.6,-13.5,-8.5,2.74384063416084,2.65560639307337,5.5453530107342,0.00645747999103956
"93",1993-10-15,6.6,-19.8,7.5,-11.8,-6.8,2.7395902591413,2.63338694732075,5.49465934112101,0.00888769768008193
"94",1993-11-15,6.7,-18.9,12,-11.3,-9.2,2.72623396168074,2.64079890658381,5.58639517377204,0.00689722265779755
"95",1993-12-15,6.7,-17.7,14.1,-12.6,-5.3,2.72645532775312,2.56954623172903,5.58644733181091,0.0103143127915491
"96",1994-01-15,6.7,-16.4,11.6,-12.6,-7.9,2.73912557394906,2.56373169472843,5.66826514549062,0.00736828990288785
"97",1994-02-15,6.8,-17.3,12.7,-9.7,-6.7,2.74103214467026,2.59062299537805,5.72195607717331,0.00815773567955512
"98",1994-03-15,6.8,-17.8,10.8,-7.4,-5.8,2.78714532915991,2.6635346736396,5.67473628835337,0.00989254909915083
"99",1994-04-15,6.8,-14.1,11,-7.1,-4.7,2.77263007846145,2.66347241322666,5.62745445204829,0.0108950897679627
"100",1994-05-15,6.9,-14.3,8.8,-5.3,-3,2.76477680199715,2.64393735993637,5.64821474623384,0.00820512899144058
"101",1994-06-15,6.9,-12,12.5,-5.3,-1.3,2.77335517108226,2.64012806270513,5.61711640974329,0.00680570861278549
"102",1994-07-15,7,-10.5,17.8,-3,-2.4,2.77574224364818,2.67555625030122,5.57585484800536,0.010684725145475
"103",1994-08-15,7.1,-7.8,12.3,-0.3,-2.1,2.79000347215665,2.6618827586024,5.63461793455703,0.00614879859880168
"104",1994-09-15,7.2,-6.7,11.8,0.1,-0.4,2.78083108999341,2.67633244513923,5.65730625402319,0.00706450053501314
"105",1994-10-15,7.3,-7.7,14,1.5,0.3,2.75160858010983,2.66897127937941,5.60754829572088,0.00611369836428833
"106",1994-11-15,7.4,-9.2,11,1.8,-0.2,2.81013510491042,2.68306461710487,5.63207112720568,0.00923754913930653
"107",1994-12-15,7.5,-8.2,9,1.6,0.9,2.79835647415236,2.69473755573021,5.62688111719825,0.00704926251627819
"108",1995-01-15,7.7,-8.9,11.2,2.3,-0.6,2.82335528888913,2.69893366171186,5.64272570492644,0.00500842682220476
"109",1995-02-15,7.8,-7.5,8.5,2,-0.3,2.84341049943671,2.73051583515146,5.62549195905947,0.00564071480228464
"110",1995-03-15,8,-11.7,7.7,2.3,2.3,2.89146180278172,2.77731277817376,5.61934300858049,0.00394648307330489
"111",1995-04-15,8.1,-11.4,4.6,3.4,1.6,2.87346790367485,2.74904309719608,5.57822787677646,0.00726679342956037
"112",1995-05-15,8.2,-10.2,10.7,2.4,-0.5,2.84044946180849,2.75661866441901,5.6344751323232,0.00369043451963672
"113",1995-06-15,8.3,-7.9,10.1,1.4,1.4,2.87056942704477,2.78544838815543,5.67071483021292,0.00618745328797329
"114",1995-07-15,8.4,-10.8,14.1,-0.4,-0.7,2.90317368117158,2.81024179726552,5.67542799656792,0.00437531952538341
"115",1995-08-15,8.4,-6.3,10.1,0.5,-1.4,2.90225644133561,2.79816182926681,5.73230525566884,0.00756420776422026
"116",1995-09-15,8.4,-6,8,-0.8,0.4,2.93284949201603,2.82425725359389,5.7308376794527,0.00501364152684502
"117",1995-10-15,8.4,-5.9,12.5,-1,-1.3,2.82398401871156,2.73187568917379,5.74030120833572,0.00608332245828044
"118",1995-11-15,8.4,-4.2,8.1,-1.9,2.1,2.8503852322273,2.73620496012402,5.71355370613398,0.00710102947699818
"119",1995-12-15,8.4,-6.8,10.8,-0.3,1.5,2.85405430621959,2.73235996280317,5.76626697256999,0.00520490086122608
"120",1996-01-15,8.3,-9,15.2,-0.7,-0.6,2.78320886065937,2.71382711411541,5.78390630316348,0.00589084483950973
"121",1996-02-15,8.3,-9.3,14.2,-1.6,-0.9,2.70384556265352,2.65747757104998,5.81642397381983,0.00681686553992398
"122",1996-03-15,8.2,-6.3,14,-2.9,-1.4,2.85697320306942,2.6942208750386,5.83196866627242,0.00688228919115201
"123",1996-04-15,8.1,-2.6,11.8,-2.7,-5.5,3.01452416694398,2.90018834601533,5.85806637253931,0.00627746615144367
"124",1996-05-15,8,1.1,15.6,-4.5,-4.4,3.01295029977276,2.8908841467373,5.89728574932645,0.00617325602576546
"125",1996-06-15,7.9,-0.6,11.8,-3.7,-2.4,2.9912168710031,2.88030969706377,5.92729502284789,0.00616676525934142
"126",1996-07-15,7.8,0.7,15.4,-3.4,-3.2,2.95780220697861,2.86813886904158,5.9142408793522,0.00627022291489655
"127",1996-08-15,7.7,-4,14.7,-3.3,-1.2,2.96797977110486,2.87253838138088,5.86687273757087,0.0108823192997962
"128",1996-09-15,7.6,-1.9,12.1,-1.8,-2.4,2.99126622120766,2.86296199668699,5.89626732972316,0.00838436666734361
"129",1996-10-15,7.5,-1,17.3,-2.8,-2.4,2.98402102363992,2.89135584321995,5.93334584871969,0.00571231820468723
"130",1996-11-15,7.4,-2.5,16.7,-4.1,2,2.99491739617704,2.89913326356474,5.93114601994347,0.00674471425078449
"131",1996-12-15,7.3,2.2,21.5,-2.2,-0.4,2.98045105120392,2.90993629773083,6.02182128208554,0.00620164468894819
"132",1997-01-15,7.2,0.1,18,-1.7,0.5,2.973709579821,2.93337173269863,6.04983390685721,0.0109495913568246
"133",1997-02-15,7.1,0.6,18.3,-1,3.9,2.99190928047499,2.93289137471481,6.09013992808723,0.00973593122959008
"134",1997-03-15,7,1.3,23.1,0.1,4.3,3.02582136786736,2.94952454397566,6.17561837670013,0.00872404453083863
"135",1997-04-15,6.9,2.8,23.5,1.3,3.7,3.04687148839731,2.95321397671527,6.17280647597729,0.0155109619145987
"136",1997-05-15,6.8,2.4,22.2,0.8,6.5,3.04806074111848,2.97661844476265,6.20138263653667,0.0161793683996619
"137",1997-06-15,6.7,-3,22.1,2.2,4.1,3.05210640642027,2.95945019332082,6.23466252660591,0.00909402262762955
"138",1997-07-15,6.6,0.8,21.4,2.2,4.4,3.05825888968866,2.96904015616307,6.32497958316454,0.00683758418263732
"139",1997-08-15,6.5,3.9,21.3,3.8,6,3.0758952346344,2.97494493760044,6.45391186871759,0.0132617784469574
"140",1997-09-15,6.4,2.6,21.8,4,4.3,3.07991904241217,3.00064023264531,6.32679188271734,0.0216723774440477
"141",1997-10-15,6.3,3.9,20.3,5.1,5.6,3.07206045334473,2.9971334267116,6.37573576930623,0.0159315535948472
"142",1997-11-15,6.2,7.1,24.5,4.9,5.2,3.08984148469096,2.99875156100001,6.30680990378751,0.0223697428531132
"143",1997-12-15,6.1,12.7,26.8,4.5,4.7,3.09417784269377,3.01955624787756,6.33183057007891,0.0152299621077181
"144",1998-01-15,5.9,9,24.8,5.7,7.5,3.10072021489475,3.02590229106875,6.37052145842746,0.0160587360863612
"145",1998-02-15,5.8,6.7,26.3,3.6,7.9,3.10217622624938,3.02092168352464,6.4198570923107,0.0115639854906237
"146",1998-03-15,5.7,4.5,28.8,3.9,6.2,3.12098246656805,3.00908181221061,6.52652172332846,0.00794683657663476
"147",1998-04-15,5.6,3.6,31.4,3.5,9.5,3.1089889822117,3.01359608600053,6.56934527706821,0.0112898268319511
"148",1998-05-15,5.5,3.3,27.5,4.3,6.8,3.12352458107915,3.00709345006317,6.56789384005535,0.0164667453851699
"149",1998-06-15,5.4,1.1,29.3,3.7,8.9,3.09869661523926,3.00691084300543,6.62982971785416,0.0176944607254922
"150",1998-07-15,5.3,4,27,3.4,7.5,3.11721833140144,3.00248460601643,6.63551691057294,0.0109747417010957
"151",1998-08-15,5.2,3.8,29,2.7,8.8,3.09016221899451,3.00488121455295,6.65745883633572,0.010404890582546
"152",1998-09-15,5.1,5,27.8,1.3,5.8,3.08912734729903,3.04010438462139,6.53393113701721,0.0195589394136671
"153",1998-10-15,5,6,28.7,3.1,1.5,3.12001657717635,3.0014035306868,6.37453210401525,0.0277391399734628
"154",1998-11-15,4.9,5.6,26.8,-0.1,-1.9,3.07249560233769,2.9890887076699,6.43357477366195,0.0294459780516393
"155",1998-12-15,4.8,7.5,28.8,-1.9,0.3,3.08757624538183,3.00816675469251,6.53630284523872,0.0176972294415613
"156",1999-01-15,4.7,10.2,26,-1.6,2.1,3.09290510092523,2.99968798036674,6.61411079859965,0.017247407670881
"157",1999-02-15,4.6,12.4,26.2,-2.2,0.2,3.08752092439552,3.0197678415074,6.6018505069614,0.0262467239796557
"158",1999-03-15,4.6,13.6,26.6,-2,-0.5,3.08811740556894,3.00882989358272,6.60442554920623,0.0117351875115716
"159",1999-04-15,4.5,13.4,29.6,-2.8,-1.9,3.09950606390073,3.03661516587392,6.59729619837634,0.0125856427575949
"160",1999-05-15,4.4,7.5,30.8,-2,0.3,3.07699678280608,3.03316497491966,6.66103905991224,0.00925600486516961
"161",1999-06-15,4.4,15.9,31.2,-2.8,-0.3,3.10842317457265,3.06105557678422,6.62624679205141,0.00906916070496503
"162",1999-07-15,4.3,13.2,32.5,-2.3,1.1,3.10332123082092,3.03192887351414,6.64285430237703,0.00709534639643616
"163",1999-08-15,4.3,15.6,31.9,-2.1,0.9,3.12396926830967,3.08001132766645,6.62883116642668,0.0118839902665885
"164",1999-09-15,4.2,12.7,33.1,-3,2.7,3.13621324497384,3.07032696266505,6.65830213326944,0.0131780413146103
"165",1999-10-15,4.2,16.2,26.4,-1.8,4.5,3.14508871765457,3.0907748914986,6.60997724628422,0.0114430111099745
"166",1999-11-15,4.1,16.9,33.3,2.6,8.3,3.13326633090502,3.07145983502424,6.65182303310497,0.0128417876714388
"167",1999-12-15,4.1,16.4,29.9,3.1,5.9,3.17713877766857,3.13092979097156,6.70222114970055,0.00863799113366174
"168",2000-01-15,4,17.8,27.1,2.4,8,3.18534396310532,3.12435385316563,6.81454736547864,0.00719424144799167
"169",2000-02-15,4,17.3,28.9,2.7,9,3.21261964936665,3.14591682572025,6.72455774379767,0.018079258426796
"170",2000-03-15,3.9,17.4,27,2.8,8.5,3.2226515913455,3.15734679148119,6.79980884012247,0.0135937720978184
"171",2000-04-15,3.9,17.3,29,4.2,9.4,3.22797098000472,3.16345653050579,6.78792923898082,0.0142072678258893
"172",2000-05-15,3.8,19.2,29.2,4.8,9.6,3.2736608538867,3.21107248487711,6.7849482776424,0.0151394096613506
"173",2000-06-15,3.8,16.5,28.4,5.1,7.9,3.28873268589822,3.22095242427428,6.7728137445381,0.00991291445481889
"174",2000-07-15,3.7,18.5,25.9,4.8,9.4,3.30931139412802,3.2392813466001,6.79894904478066,0.0104121096535189
"175",2000-08-15,3.7,20.5,26.7,6.1,7,3.32829792913718,3.24403259615977,6.79557857203367,0.00698022228021641
"176",2000-09-15,3.6,22.6,26.3,4.8,7.6,3.31578600501386,3.27269861021529,6.82261167760893,0.00605482154856536
"177",2000-10-15,3.6,22.4,29.2,4.1,7,3.33751289929708,3.25911479996733,6.76910865072031,0.00677071422736163
"178",2000-11-15,3.5,18.3,28.4,5.5,8.7,3.37903475278523,3.25400535606338,6.79577513222777,0.0111578350282539
"179",2000-12-15,3.4,21.8,26,5.4,7.9,3.36128335457226,3.3045523639087,6.74983980210081,0.0118025805429475
"180",2001-01-15,3.4,27.1,24.3,5,7.3,3.37871407574833,3.31840011002606,6.73663169425921,0.0127602982643823
"181",2001-02-15,3.3,21.1,25.7,3.9,4.3,3.38653694354634,3.33510493040289,6.73180312055198,0.00819509218729406
"182",2001-03-15,3.2,18.5,25.1,2.2,2.6,3.40862413619011,3.35899858434863,6.65409426262654,0.00831155215987112
"183",2001-04-15,3.2,15.9,21.4,1.3,0.5,3.37534293159908,3.3067124411258,6.57731884425905,0.017807343858205
"184",2001-05-15,3.2,15.7,19.4,-0.5,-1.2,3.35115676075715,3.27268375174599,6.63214223811884,0.0144440544952982
"185",2001-06-15,3.1,16,23,-1.4,-0.4,3.34908639434275,3.25924922457635,6.61534204240824,0.0113099369394383
"186",2001-07-15,3.1,13.1,23.7,-1.7,-4.8,3.3257705527554,3.22877926653382,6.59906611488293,0.0105903651310245
"187",2001-08-15,3.1,12.2,26.3,-4.2,-4.2,3.32304619515566,3.21687356655162,6.55630609562471,0.0101684878511226
"188",2001-09-15,3.1,6.5,25.1,-3.7,-5.6,3.360850153835,3.25311948730916,6.50579112621129,0.00945044995047268
"189",2001-10-15,3.1,5.4,26.4,-4.9,-4.8,3.30056572411412,3.22068490818735,6.35062598443579,0.0351037691789645
"190",2001-11-15,3.1,7.3,22.1,-8.5,-8,3.29514102610463,3.1886918623895,6.36576902324642,0.0238807164318395
"191",2001-12-15,3.1,4.9,25.7,-8.3,-6,3.27544057240299,3.16692732740739,6.43492920104962,0.0167835442391219
"192",2002-01-15,3.1,4.9,24.2,-7.8,-3.7,3.26622705757207,3.14452796778034,6.46620727799169,0.0145603347648246
"193",2002-02-15,3.2,4.3,25.4,-7.2,1.7,3.2509578009729,3.14261890011032,6.447370146329,0.0121868668978556
"194",2002-03-15,3.2,4.7,26.7,-4.8,0.5,3.2881660763181,3.14979594105807,6.42989730395612,0.0113233951741557
"195",2002-04-15,3.3,2.6,24.6,-5,0.7,3.26124582695545,3.17839495801435,6.49182200850274,0.00824290554181996
"196",2002-05-15,3.4,0.8,23,-5.2,-2.3,3.28026284973216,3.18174329455871,6.44887374726567,0.00966953832822183
"197",2002-06-15,3.4,-1.1,20.1,-5.2,-3.6,3.28202086438373,3.17648466642124,6.39492979886911,0.0100237777123592
"198",2002-07-15,3.5,-4.7,16.8,-5.3,-5.3,3.25673590944865,3.18740429217493,6.30105308234884,0.0243819665352103
"199",2002-08-15,3.6,-10,14,-7,-6.6,3.27547385763436,3.156832129416,6.11244308973962,0.0392598007418003
"200",2002-09-15,3.7,-12.2,9.4,-3.8,-8.4,3.29201796010238,3.18232759448607,6.1308605616637,0.0339880240741177
"201",2002-10-15,3.8,-13.6,11.9,-5.6,-10.8,3.28040043450999,3.15051775132227,5.89381352218277,0.0319487535214835
"202",2002-11-15,3.9,-11.3,7.5,-7,-11.2,3.28120146751794,3.16832343570798,6.04195373868664,0.031629690391649
"203",2002-12-15,4,-17.2,8.3,-6,-10.6,3.28941905063273,3.17863512788156,6.09925595191307,0.0210805951079968
"204",2003-01-15,4.1,-14.4,5.4,-5.7,-11.8,3.28308909984372,3.18286389840881,5.98790753062968,0.017275462446726
"205",2003-02-15,4.2,-13,7.6,-6.7,-17.6,3.28762087077714,3.17490528914649,5.89441131060104,0.0188593569357526
"206",2003-03-15,5.3,-19.3,5.8,-8.7,-17.1,3.29736803938774,3.17241344208734,5.78578984720621,0.0272614547495451
"207",2003-04-15,5.4,-20.8,7.4,-9.2,-17.4,3.3234852893269,3.20428621997491,5.70761212076135,0.0413714789084213
"208",2003-05-15,5.6,-23.6,7.1,-9.6,-16.4,3.31615237701704,3.21511585985196,5.83517806914236,0.0221101417808085
"209",2003-06-15,5.7,-24.6,-1.6,-9.7,-14.6,3.28374144626492,3.18449031950722,5.8285892638184,0.0185504901124471
"210",2003-07-15,5.8,-24.3,-2.9,-10.8,-15.1,3.24165755445194,3.13724003193662,5.87159143171316,0.0200066738593663
"211",2003-08-15,5.9,-21.2,-4.3,-10.4,-17.1,3.25452589746428,3.13064747508117,5.95597470605498,0.0173180728764964
"212",2003-09-15,6,-20.1,-5.8,-10.4,-14,3.2421016323439,3.11887998569268,5.98967506815727,0.0094477074410587
"213",2003-10-15,6.1,-21.1,-8.1,-9.3,-12.9,3.25263323515731,3.13364213816282,5.90873247432124,0.0120532550151782
"214",2003-11-15,6.2,-22.9,-7.5,-8,-14.6,3.24065392091203,3.12846031327393,5.98512528598387,0.0125327704398014
"215",2003-12-15,6.2,-23.3,-5.3,-6.9,-13.6,3.27438014201327,3.13917195467333,5.99360416550527,0.0130162471108044
