"","h=3","h=6"
"1",0.0874666666666667,0.182625
"2",0.175008333333333,0.212416666666667
"3",0.192041666666667,0.302733333333334
"4",0.141083333333333,0.24675
"5",0.270258333333334,0.204866666666667
"6",0.284791666666667,0.103525
"7",0.236891666666667,0.00543333333333333
"8",0.192275,0.00749166666666668
"9",0.1548,0.0297333333333333
"10",0.0316,0.0231166666666667
"11",0.0426,0.00144166666666669
"12",0.0595166666666666,0.277575
"13",0.0489166666666667,0.1733
"14",0.0712416666666667,0.103516666666667
"15",0.204091666666667,0.150933333333333
"16",0.1625,0.140641666666667
"17",0.0765916666666667,0.181575
"18",0.144216666666667,0.172633333333333
"19",0.150008333333333,0.236858333333334
"20",0.171133333333334,0.172275
"21",0.204408333333333,0.167866666666667
"22",0.176858333333333,0.088775
"23",0.125883333333333,0.0593916666666667
"24",0.09725,0.0039583333333333
"25",0.0715833333333333,0.0651333333333333
"26",0.068175,0.0173916666666666
"27",0.00559166666666672,0.0458333333333334
"28",0.0650666666666667,0.0980666666666667
"29",0.0355583333333334,0.113841666666667
"30",0.05745,0.1258
"31",0.079325,0.065925
"32",0.109991666666667,0.0134416666666667
"33",0.0797416666666668,0.0398583333333333
"34",0.0767,0.0523666666666667
"35",0.0442416666666666,-0.0185333333333333
"36",0.0687583333333333,-0.000166666666666696
"37",0.032375,-0.0273666666666666
"38",-0.031325,-0.047
"39",-0.0193333333333334,-0.0736916666666667
"40",-0.0312916666666667,-0.0270916666666667
"41",-0.100858333333333,-0.125975
"42",-0.102025,-0.116483333333333
"43",-0.0625500000000001,-0.114466666666667
"44",-0.118425,-0.0827166666666667
"45",-0.129741666666667,-0.0525750000000001
"46",-0.127391666666667,-0.0832916666666666
"47",-0.0838,-0.0468
"48",-0.0810083333333333,-0.0675333333333333
"49",-0.0899166666666666,-0.058475
"50",-0.0739416666666667,-0.0826583333333332
"51",-0.0763666666666667,-0.0152833333333334
"52",-0.0692916666666666,-0.043925
"53",-0.0859833333333333,-0.0816000000000001
"54",-0.0308916666666667,-0.0770333333333333
"55",-0.036975,0.00681666666666665
"56",-0.0432416666666667,-0.00593333333333333
"57",-0.0526416666666667,-0.042025
"58",0.0137583333333333,0.018375
"59",-0.0128333333333333,-0.0308916666666667
"60",-0.0580333333333333,-0.0389
"61",-0.028375,-0.00340833333333331
"62",-0.0203333333333334,-0.029375
"63",-0.0253166666666667,-0.0461666666666667
"64",-0.0108833333333334,-0.08315
"65",-0.0118416666666667,-0.077325
"66",-0.0446916666666667,-0.07245
"67",-0.0952416666666667,-0.05185
"68",-0.071075,-0.10225
"69",-0.0674583333333333,-0.0405333333333333
"70",-0.0653666666666666,-0.0662166666666666
"71",-0.0790916666666666,-0.0409166666666666
"72",-0.0299166666666667,-0.0576499999999999
