"h=3","h=6","h=12","h=18","h=24"
0.0581466666666667,0.0574333333333333,-0.0247266666666667,0.0768866666666667,0.00481666666666666
0.0564233333333335,0.0378633333333334,-0.0164433333333333,0.0149033333333333,-0.0371666666666667
0.0406833333333334,0.0496766666666667,-0.01532,-0.0304566666666666,-0.0174066666666667
0.10017,0.08307,0.05323,0.04997,0.0322433333333333
0.0640166666666668,0.0570566666666667,0.0249333333333333,0.00836333333333333,-0.02222
0.0767900000000001,0.0785166666666668,0.05387,-0.0152566666666667,-0.00432333333333334
0.0760233333333336,0.0644866666666669,0.06065,-0.000306666666666671,0.0264133333333333
0.0865200000000002,0.0472000000000001,0.0530166666666667,-0.00117999999999999,0.0238333333333333
0.0514800000000001,0.0477300000000001,0.0693233333333334,-0.00460666666666664,0.0151566666666667
0.0685600000000002,0.0748900000000003,0.0450533333333334,0.0326866666666666,0.0338066666666666
0.0786000000000003,0.0858766666666669,0.0842500000000003,0.0506433333333334,0.0520266666666666
0.107526666666667,0.102306666666667,0.0899333333333336,0.0887300000000002,0.0826566666666668
0.0986200000000004,0.0850233333333336,0.088496666666667,0.0790833333333335,0.0710400000000001
0.114213333333334,0.10085,0.107403333333334,0.0973200000000003,0.102996666666667
0.104736666666667,0.112356666666667,0.124610000000001,0.111183333333334,0.133966666666667
0.129920000000001,0.118820000000001,0.107283333333334,0.0624,0.112126666666667
0.122116666666667,0.128090000000001,0.0878000000000003,0.0651400000000001,0.119553333333334
0.115936666666667,0.0870433333333337,0.100696666666667,0.0793900000000003,0.133793333333334
0.112746666666667,0.115386666666667,0.0986600000000004,0.0923833333333335,0.137106666666667
0.0992333333333337,0.110046666666667,0.0878266666666669,0.0487266666666666,0.0872866666666669
0.0808066666666669,0.0778633333333335,0.0647133333333334,0.0483533333333333,0.0473533333333333
0.0480033333333334,0.06664,0.0431166666666666,0.0342766666666667,0.0229233333333333
0.04087,0.05956,0.0243366666666667,0.00403333333333334,0.00771666666666669
0.0294066666666667,0.0463166666666666,0.04828,0.0361766666666667,0.04705
0.0243933333333333,0.05401,0.05073,0.0507266666666666,0.0768066666666667
0.0480233333333333,0.0444666666666666,0.0730566666666669,0.0447366666666667,0.0687800000000001
0.03489,0.0374833333333333,0.0555266666666668,0.0439233333333333,0.0440966666666667
0.0154033333333333,-0.00321999999999999,0.01481,0.00596000000000002,0.00499000000000002
-0.02442,-0.00213999999999995,-0.00464666666666661,0.00331666666666669,-0.0150033333333333
-0.0271333333333333,-0.0299833333333332,-0.0205833333333333,-0.0347299999999999,-0.0547866666666667
-0.0451400000000001,-0.0472233333333334,-0.0499666666666668,-0.0319266666666667,-0.04164
-0.0413866666666667,-0.0566833333333336,-0.0554866666666668,-1.66666666666604e-05,-0.0244566666666667
-0.0464966666666667,-0.00819666666666668,-0.0378266666666667,-0.00295666666666666,-0.0374166666666667
-0.02438,-0.0556266666666668,-0.0295133333333333,-0.0135166666666667,-0.0243633333333333
-0.0195166666666667,-0.00354,-0.0239766666666666,0.0210033333333333,0.01495
0.00261999999999997,0.0200266666666666,-0.000986666666666679,0.03527,0.0185533333333333
