"h=3","h=6","h=12","h=18","h=24"
0.0299766666666666,0.01309,-0.0516933333333334,0.0266566666666667,0.00635999999999996
0.04127,0.0101633333333333,-0.0241133333333333,0.01591,-0.01717
0.0162266666666667,0.0442666666666666,-0.0521900000000002,0.0640599999999999,0.168703333333333
0.03789,0.0527600000000001,-0.00465000000000001,0.0834499999999999,0.00524999999999998
0.0765700000000002,0.0362166666666667,-0.0151733333333333,0.00694999999999997,0.0768133333333332
0.0683866666666667,0.0487633333333334,0.00425000000000002,-0.00264666666666667,-0.03071
0.0493266666666668,0.0172866666666666,0.03605,-0.0251633333333333,0.0630266666666666
0.0870400000000004,0.0711433333333337,0.0365433333333333,-0.01561,-0.0190966666666666
0.0532066666666667,0.0473466666666667,0.0471300000000001,-0.0251833333333333,-0.0146266666666667
0.0780400000000003,0.0720133333333337,0.0477800000000002,-0.01109,0.0349566666666666
0.0771633333333334,0.0833833333333337,0.0823233333333337,-0.0236233333333333,-0.00965333333333333
0.106320000000001,0.093036666666667,0.0750066666666668,0.00516666666666666,0.0217533333333333
0.0757700000000002,0.0731633333333335,0.0865733333333336,0.02328,-0.0264
0.0938266666666672,0.0908133333333337,0.0855233333333336,0.0600866666666667,0.0276433333333334
0.0816700000000002,0.105603333333334,0.10096,0.0711000000000001,0.0564899999999999
0.129043333333334,0.113790000000001,0.0870800000000003,0.04146,0.0325666666666666
0.110486666666667,0.109373333333334,0.0678200000000001,0.0306599999999999,0.0176966666666667
0.106463333333334,0.0986666666666672,0.0683733333333335,0.0406866666666668,0.0098866666666667
0.0970933333333337,0.0883100000000002,0.0690866666666667,0.0393466666666667,0.0271
0.111436666666667,0.118036666666667,0.0753333333333335,0.0225899999999999,0.00252333333333332
0.0776433333333335,0.0825766666666669,0.0648366666666666,0.0215033333333333,0.0325166666666667
0.0714300000000002,0.090726666666667,0.0674700000000001,0.0237666666666667,0.00149333333333333
0.06691,0.0884700000000004,0.0679933333333334,0.0268133333333333,0.0168133333333333
0.0331466666666666,0.0654366666666666,0.0623000000000001,0.00654666666666668,-0.00759
0.0424533333333333,0.0669333333333335,0.0547166666666668,0.02054,0.00847
0.0359599999999999,0.05219,0.0687000000000001,0.03808,0.00536333333333331
0.0345966666666666,0.0600466666666668,0.06538,0.03791,0.0261533333333333
0.02531,0.0301533333333333,0.0586366666666667,0.0172433333333333,-0.0197666666666667
-6.66666666663243e-06,0.0250233333333333,0.03294,0.00229000000000002,-0.01469
0.0126766666666667,-0.0165733333333333,-0.00623666666666658,-0.0131366666666666,-0.0413533333333333
-0.0247833333333333,-0.00136333333333329,0.01664,-0.0196066666666667,-0.03158
-0.01128,-0.0202333333333333,-0.0299833333333333,-0.0338833333333333,-0.0255866666666667
-0.0441966666666668,-0.0301166666666666,-0.0256233333333333,-0.00210333333333332,-0.0308433333333333
-0.03195,-0.0277866666666666,-0.01808,-0.0130066666666667,-0.000809999999999986
-0.0282066666666666,-0.0254733333333333,-0.0276066666666667,0.0102666666666667,-0.0323533333333333
-0.0166333333333333,-0.0200633333333333,-0.025,-0.00128000000000003,-0.04406
-0.0224433333333333,-0.0466933333333334,-0.0176266666666667,0.0239566666666667,-0.0316133333333332
-0.03313,-0.0553866666666669,-0.0537233333333334,-0.00440666666666666,-0.0350166666666666
-0.02785,-0.00770666666666665,-0.06099,-0.0298533333333334,0.0315066666666666
-0.0722666666666669,-0.0719733333333336,-0.04732,-0.0345733333333333,0.01315
-0.03607,-0.0536766666666668,-0.0588500000000001,-0.0346566666666667,-0.00944333333333334
-0.0707566666666669,-0.0641100000000002,-0.074016666666667,-0.0331866666666667,0.0399233333333333
-0.0737100000000003,-0.0713933333333336,-0.0926466666666671,-0.0767566666666668,-0.05171
-0.0522166666666668,-0.0594333333333335,-0.0684866666666669,-0.0469166666666667,-0.0476733333333334
-0.0664733333333336,-0.0795466666666669,-0.0758266666666669,-0.0560666666666667,-0.0413533333333333
-0.0379,-0.0390833333333334,-0.0391933333333334,-0.0381533333333333,-0.0192166666666667
-0.0638900000000001,-0.0682166666666668,-0.0319166666666667,-0.0478233333333333,-0.0191233333333333
-0.0551500000000002,-0.0571166666666669,-0.0585866666666669,-0.0641866666666668,-0.02736
-0.0615666666666669,-0.0759733333333335,-0.0403133333333333,-0.0814100000000002,-0.0583666666666667
-0.0366633333333334,-0.0653166666666668,-0.0612766666666669,-0.0498133333333334,-0.0353933333333333
-0.0702966666666669,-0.0806033333333336,-0.0593066666666668,-0.0601433333333335,-0.0260066666666666
-0.0221833333333333,-0.0386,-0.0541166666666668,-0.0400933333333334,-0.04128
-0.0526233333333335,-0.0689133333333335,-0.0746600000000003,-0.0506733333333334,-0.0461366666666667
-0.0697433333333337,-0.0731533333333337,-0.0582333333333335,-0.0352066666666667,-0.0386733333333334
-0.0546466666666668,-0.0596000000000003,-0.0732300000000002,-0.0670566666666669,-0.0444633333333334
-0.0843200000000003,-0.0723300000000002,-0.0678000000000002,-0.0532033333333334,-0.03428
-0.0735866666666669,-0.0722600000000002,-0.0671533333333336,-0.0531833333333335,-0.0410566666666667
-0.0578733333333334,-0.0610666666666669,-0.0786000000000004,-0.0671233333333335,-0.0232633333333334
-0.0765900000000002,-0.0664200000000002,-0.0485500000000002,-0.0564166666666669,-0.0675666666666669
-0.0720500000000003,-0.0608333333333335,-0.0846766666666671,-0.0484033333333335,-0.0467800000000001
-0.0741333333333337,-0.0657200000000002,-0.0502066666666668,-0.04184,-0.0476866666666668
-0.0750000000000003,-0.0621700000000001,-0.0203133333333334,-0.0596000000000001,-0.0573266666666667
-0.0609800000000002,-0.0671466666666669,-0.0286033333333333,-0.0533833333333335,-0.02171
-0.0705766666666669,-0.0570666666666668,-0.0226233333333333,-0.0423100000000001,-0.0482733333333335
-0.0640533333333336,-0.0755533333333337,-0.0682933333333336,-0.0338033333333333,-0.0233766666666667
-0.0669933333333336,-0.0627766666666668,-0.02438,-0.0561233333333335,-0.03863
-0.0740133333333336,-0.0864100000000004,-0.0327733333333333,-0.03115,-0.0357866666666667
-0.0837833333333337,-0.0788166666666671,-0.0608033333333335,-0.0239166666666666,-0.0440633333333334
-0.0621133333333335,-0.0744700000000003,-0.0555866666666668,-0.0381300000000001,-0.0344666666666667
-0.0929666666666671,-0.086866666666667,-0.0660200000000002,-0.0345366666666666,-0.0295933333333333
-0.0675666666666669,-0.0704166666666669,-0.0794466666666671,-0.04274,-0.0209166666666666
-0.0699200000000002,-0.075176666666667,-0.0766000000000002,-0.01994,-0.01695
-0.0696300000000002,-0.0699366666666669,-0.0709233333333336,-0.0331666666666666,-0.0254566666666666
-0.0678433333333336,-0.0832700000000005,-0.0696000000000003,-0.0445400000000002,-0.01703
-0.0747366666666669,-0.0732900000000003,-0.076416666666667,-0.0375466666666666,-0.0232166666666666
-0.0734300000000002,-0.0654133333333336,-0.0724866666666669,-0.0577533333333334,-0.0460000000000001
-0.0502233333333334,-0.05691,-0.0599100000000002,-0.05412,-0.03037
-0.0588866666666668,-0.0677133333333335,-0.0727900000000003,-0.0582866666666669,-0.0192166666666666
-0.0381466666666667,-0.0422166666666667,-0.0502400000000001,-0.04197,-0.0135133333333333
-0.0453833333333334,-0.0623200000000001,-0.0578933333333334,-0.0475466666666667,-0.0188966666666667
-0.0553166666666668,-0.0601033333333335,-0.0561566666666669,-0.0454633333333334,-0.0418966666666667
-0.0213766666666667,-0.0273666666666667,-0.0355533333333333,-0.0402366666666667,-0.03266
-0.0416066666666667,-0.0470933333333334,-0.0492600000000001,-0.0431866666666667,-0.0333266666666667
-0.0545566666666668,-0.0415133333333334,-0.0343733333333333,-0.0332466666666666,-0.0354066666666667
-0.0249766666666667,-0.0380766666666667,-0.02244,-0.0348200000000001,-0.0480766666666668
-0.00730333333333332,-0.0260033333333333,-0.0317966666666666,-0.04163,-0.02609
-0.0369699999999999,-0.0385533333333333,-0.0307733333333333,-0.0343333333333334,-0.0484166666666667
-0.0234,-0.01855,-0.0342133333333333,-0.02728,-0.0288533333333333
