"h=3","h=6","h=12","h=18","h=24"
0.0656066666666667,0.0154733333333333,-0.0523266666666668,0.0555000000000001,-0.01939
0.0571966666666668,0.0190866666666667,-0.0334233333333333,0.00881666666666665,-0.03853
0.02723,0.0315533333333333,-0.0409933333333334,0.0178866666666667,0.109373333333333
0.0540566666666667,0.0521033333333334,-0.00606999999999999,0.0538666666666665,0.00268333333333331
0.04781,0.04841,-0.0168166666666666,0.0366366666666667,-0.00484666666666665
0.0717533333333336,0.0464266666666667,0.01711,-0.02754,-0.0221666666666667
0.0635633333333335,0.0400366666666667,0.0452566666666666,-0.0324166666666666,0.0230933333333333
0.0799100000000004,0.0500166666666668,0.0531333333333334,-0.0235266666666667,-0.01449
0.0601166666666667,0.0535233333333334,0.0503066666666667,-0.01943,-0.0140333333333333
0.0679866666666668,0.0724700000000003,0.0395466666666667,-0.00984000000000001,0.00359333333333331
0.085106666666667,0.100856666666667,0.0831266666666669,-0.0104166666666667,0.00691666666666665
0.10389,0.0956333333333337,0.0755733333333335,0.0056,-0.00390333333333333
0.0790966666666669,0.082486666666667,0.0839533333333337,0.0247533333333333,-0.00225333333333334
0.104683333333334,0.0946966666666671,0.104570000000001,0.0543033333333334,0.0471766666666667
0.0993266666666671,0.10575,0.123953333333334,0.0679900000000001,0.0556233333333333
0.126386666666667,0.115926666666667,0.0989300000000005,0.0177766666666667,0.025
0.107063333333334,0.112926666666667,0.0834733333333337,0.0407600000000001,0.0288266666666666
0.118086666666667,0.0883800000000004,0.102323333333334,0.0648500000000001,0.0258466666666667
0.089836666666667,0.0954866666666671,0.0929766666666669,0.0424633333333334,0.0492166666666668
0.10323,0.110050000000001,0.0922166666666669,0.0405033333333333,0.0180666666666666
0.0765366666666669,0.0789033333333335,0.0663300000000001,0.0417233333333333,0.01979
0.0554033333333334,0.0677333333333334,0.0670400000000001,0.0236766666666666,-0.0219233333333333
0.0510533333333333,0.0797866666666669,0.0719333333333334,0.01942,-0.0116733333333333
0.0280566666666667,0.0631,0.0678066666666668,0.0220566666666667,0.00783000000000001
0.0233966666666666,0.0550400000000001,0.0577866666666668,0.0417533333333333,0.0125
0.0299733333333333,0.05013,0.080756666666667,0.05534,0.01187
0.0166166666666666,0.0486766666666667,0.0607066666666668,0.0418966666666667,0.01478
-0.00166666666666667,0.00228666666666668,0.0214066666666667,0.0152366666666667,-0.01606
-0.0289833333333333,-0.000109999999999972,0.00560333333333336,0.02206,-0.0269933333333333
-0.0150933333333333,-0.01338,-0.00649666666666659,-0.00684666666666661,-0.0606633333333333
-0.0355700000000001,-0.0329166666666667,-0.0222233333333333,0.00257666666666663,-0.0498033333333333
-0.0386066666666668,-0.0428633333333334,-0.03728,-0.0169866666666667,-0.0410333333333334
-0.04533,-0.00594666666666665,-0.0372133333333334,-0.000406666666666683,-0.03416
