"ID";"Werkzaamheden";"Opdrachtgever";"Perioden";"TotaalAantalVerleendeBouwvergunningen_2";"AantalBouwvergunningenWoningbouw_4";"AantalBouwvergunningenUtiliteitsbouw_6"
"40";"0";"0";"1992MM06";"    3817";"    2233";"    1584"
"42";"0";"0";"1992MM07";"    3434";"    1998";"    1436"
"43";"0";"0";"1992MM08";"    2878";"    1681";"    1197"
"44";"0";"0";"1992MM09";"    3199";"    1932";"    1267"
"46";"0";"0";"1992MM10";"    3125";"    1956";"    1169"
"47";"0";"0";"1992MM11";"    2814";"    1731";"    1083"
"48";"0";"0";"1992MM12";"    2565";"    1621";"     944"
"51";"0";"0";"1993MM01";"    2578";"    1574";"    1004"
"52";"0";"0";"1993MM02";"    2627";"    1677";"     950"
"53";"0";"0";"1993MM03";"    3049";"    1919";"    1130"
"55";"0";"0";"1993MM04";"    2767";"    1735";"    1032"
"56";"0";"0";"1993MM05";"    2846";"    1860";"     986"
"57";"0";"0";"1993MM06";"    3375";"    2311";"    1064"
"59";"0";"0";"1993MM07";"    3332";"    2253";"    1079"
"60";"0";"0";"1993MM08";"    2908";"    1922";"     986"
"61";"0";"0";"1993MM09";"    2969";"    1969";"    1000"
"63";"0";"0";"1993MM10";"    3030";"    2029";"    1001"
"64";"0";"0";"1993MM11";"    2997";"    2027";"     970"
"65";"0";"0";"1993MM12";"    3033";"    2042";"     991"
"68";"0";"0";"1994MM01";"    2587";"    1754";"     833"
"69";"0";"0";"1994MM02";"    2820";"    1967";"     853"
"70";"0";"0";"1994MM03";"    3053";"    2082";"     971"
"72";"0";"0";"1994MM04";"    2960";"    2045";"     915"
"73";"0";"0";"1994MM05";"    3316";"    2268";"    1048"
"74";"0";"0";"1994MM06";"    3616";"    2440";"    1176"
"76";"0";"0";"1994MM07";"    3530";"    2399";"    1131"
"77";"0";"0";"1994MM08";"    3057";"    1939";"    1118"
"78";"0";"0";"1994MM09";"    2959";"    1907";"    1052"
"80";"0";"0";"1994MM10";"    3156";"    2121";"    1035"
"81";"0";"0";"1994MM11";"    2870";"    1921";"     949"
"82";"0";"0";"1994MM12";"    2853";"    1867";"     986"
"85";"0";"0";"1995MM01";"    2728";"    1778";"     950"
