"ID";"TypeGefailleerde";"Perioden";"UitgesprokenFaillissementen_1"
"312";"T001243";"1999MM06";"     364"
"314";"T001243";"1999MM07";"     281"
"315";"T001243";"1999MM08";"     273"
"316";"T001243";"1999MM09";"     346"
"318";"T001243";"1999MM10";"     308"
"319";"T001243";"1999MM11";"     332"
"320";"T001243";"1999MM12";"     329"
"323";"T001243";"2000MM01";"     310"
"324";"T001243";"2000MM02";"     345"
"325";"T001243";"2000MM03";"     365"
"327";"T001243";"2000MM04";"     306"
"328";"T001243";"2000MM05";"     379"
"329";"T001243";"2000MM06";"     336"
"331";"T001243";"2000MM07";"     356"
"332";"T001243";"2000MM08";"     452"
"333";"T001243";"2000MM09";"     354"
"335";"T001243";"2000MM10";"     440"
"336";"T001243";"2000MM11";"     495"
"337";"T001243";"2000MM12";"     360"
"340";"T001243";"2001MM01";"     447"
"341";"T001243";"2001MM02";"     451"
"342";"T001243";"2001MM03";"     453"
"344";"T001243";"2001MM04";"     427"
"345";"T001243";"2001MM05";"     544"
"346";"T001243";"2001MM06";"     440"
"348";"T001243";"2001MM07";"     540"
"349";"T001243";"2001MM08";"     520"
"350";"T001243";"2001MM09";"     462"
"352";"T001243";"2001MM10";"     589"
"353";"T001243";"2001MM11";"     530"
"354";"T001243";"2001MM12";"     431"
"357";"T001243";"2002MM01";"     602"
"358";"T001243";"2002MM02";"     520"
"359";"T001243";"2002MM03";"     506"
"361";"T001243";"2002MM04";"     486"
"362";"T001243";"2002MM05";"     532"
"363";"T001243";"2002MM06";"     535"
"365";"T001243";"2002MM07";"     672"
"366";"T001243";"2002MM08";"     493"
"367";"T001243";"2002MM09";"     575"
"369";"T001243";"2002MM10";"     703"
"370";"T001243";"2002MM11";"     586"
"371";"T001243";"2002MM12";"     561"
"374";"T001243";"2003MM01";"     657"
"375";"T001243";"2003MM02";"     639"
"376";"T001243";"2003MM03";"     620"
"378";"T001243";"2003MM04";"     794"
"379";"T001243";"2003MM05";"     757"
"380";"T001243";"2003MM06";"     737"
"382";"T001243";"2003MM07";"     757"
"383";"T001243";"2003MM08";"     596"
"384";"T001243";"2003MM09";"     869"
"386";"T001243";"2003MM10";"     805"
"387";"T001243";"2003MM11";"     786"
"388";"T001243";"2003MM12";"     731"
"391";"T001243";"2004MM01";"     732"
"392";"T001243";"2004MM02";"     768"
"393";"T001243";"2004MM03";"     902"
"395";"T001243";"2004MM04";"     739"
"396";"T001243";"2004MM05";"     744"
"397";"T001243";"2004MM06";"     848"
"399";"T001243";"2004MM07";"     745"
"400";"T001243";"2004MM08";"     752"
"401";"T001243";"2004MM09";"     833"
"403";"T001243";"2004MM10";"     703"
"404";"T001243";"2004MM11";"     824"
"405";"T001243";"2004MM12";"     759"
"408";"T001243";"2005MM01";"     797"
"409";"T001243";"2005MM02";"     840"
"410";"T001243";"2005MM03";"     988"
"412";"T001243";"2005MM04";"     819"
"413";"T001243";"2005MM05";"     831"
"414";"T001243";"2005MM06";"     904"
"416";"T001243";"2005MM07";"     814"
"417";"T001243";"2005MM08";"     798"
"418";"T001243";"2005MM09";"     828"
"420";"T001243";"2005MM10";"     789"
"421";"T001243";"2005MM11";"     930"
"422";"T001243";"2005MM12";"     744"
"425";"T001243";"2006MM01";"     832"
"426";"T001243";"2006MM02";"     826"
"427";"T001243";"2006MM03";"     907"
"429";"T001243";"2006MM04";"     776"
"430";"T001243";"2006MM05";"     835"
"431";"T001243";"2006MM06";"     715"
"433";"T001243";"2006MM07";"     729"
"434";"T001243";"2006MM08";"     733"
"435";"T001243";"2006MM09";"     736"
"437";"T001243";"2006MM10";"     712"
"438";"T001243";"2006MM11";"     711"
"439";"T001243";"2006MM12";"     667"
"442";"T001243";"2007MM01";"     799"
"443";"T001243";"2007MM02";"     661"
"444";"T001243";"2007MM03";"     692"
"446";"T001243";"2007MM04";"     649"
"447";"T001243";"2007MM05";"     729"
"448";"T001243";"2007MM06";"     622"
"450";"T001243";"2007MM07";"     671"
"451";"T001243";"2007MM08";"     635"
"452";"T001243";"2007MM09";"     648"
"454";"T001243";"2007MM10";"     745"
"455";"T001243";"2007MM11";"     624"
"456";"T001243";"2007MM12";"     477"
"459";"T001243";"2008MM01";"     710"
"460";"T001243";"2008MM02";"     515"
"461";"T001243";"2008MM03";"     461"
"463";"T001243";"2008MM04";"     590"
"464";"T001243";"2008MM05";"     415"
"465";"T001243";"2008MM06";"     554"
"467";"T001243";"2008MM07";"     585"
"468";"T001243";"2008MM08";"     513"
"469";"T001243";"2008MM09";"     591"
"471";"T001243";"2008MM10";"     561"
"472";"T001243";"2008MM11";"     684"
"473";"T001243";"2008MM12";"     668"
"476";"T001243";"2009MM01";"     790"
"477";"T001243";"2009MM02";"     766"
"478";"T001243";"2009MM03";"    1040"
"480";"T001243";"2009MM04";"     949"
"481";"T001243";"2009MM05";"     758"
"482";"T001243";"2009MM06";"    1023"
"484";"T001243";"2009MM07";"     921"
"485";"T001243";"2009MM08";"     775"
"486";"T001243";"2009MM09";"     907"
