"ID";"AardWerkzaamheden";"Gebouwbestemming";"Perioden";"Bouwkosten_1";"Bouwvergunningen_2";"Bouwkosten_3";"Bouwvergunningen_4"
"63";"T001212";"T001032";"2017MM04";"    1348";"    1958";"   135.2";"   123.8"
"64";"T001212";"T001032";"2017MM05";"    1434";"    2352";"   143.8";"   148.7"
"65";"T001212";"T001032";"2017MM06";"    1205";"    2270";"   120.8";"   143.5"
"66";"T001212";"T001032";"2017MM07";"    1826";"    2474";"   183.0";"   156.5"
"67";"T001212";"T001032";"2017MM08";"    1162";"    1991";"   116.5";"   125.9"
"68";"T001212";"T001032";"2017MM09";"    1438";"    2232";"   144.2";"   141.1"
"69";"T001212";"T001032";"2017MM10";"    1703";"    2153";"   170.7";"   136.2"
"70";"T001212";"T001032";"2017MM11";"    1619";"    2149";"   162.3";"   135.9"
"71";"T001212";"T001032";"2017MM12";"    1353";"    1915";"   135.7";"   121.1"
"72";"T001212";"T001032";"2018MM01";"    1160";"    1971";"   116.3";"   124.6"
"73";"T001212";"T001032";"2018MM02";"    1459";"    2108";"   146.3";"   133.3"
"74";"T001212";"T001032";"2018MM03";"    1509";"    2300";"   151.3";"   145.5"
"75";"T001212";"T001032";"2018MM04";"    1483";"    2161";"   148.7";"   136.6"
"76";"T001212";"T001032";"2018MM05";"    1382";"    2199";"   138.5";"   139.0"
"77";"T001212";"T001032";"2018MM06";"    1589";"    2319";"   159.3";"   146.7"
"78";"T001212";"T001032";"2018MM07";"    1723";"    2425";"   172.7";"   153.4"
"79";"T001212";"T001032";"2018MM08";"    1416";"    2023";"   141.9";"   127.9"
"80";"T001212";"T001032";"2018MM09";"    1540";"    2103";"   154.3";"   133.0"
"81";"T001212";"T001032";"2018MM10";"    2159";"    2301";"   216.5";"   145.5"
"82";"T001212";"T001032";"2018MM11";"    1448";"    2028";"   145.2";"   128.2"
"83";"T001212";"T001032";"2018MM12";"    1432";"    1852";"   143.6";"   117.1"
"84";"T001212";"T001032";"2019MM01";"    1238";"    1932";"   124.1";"   122.2"
"85";"T001212";"T001032";"2019MM02";"    1278";"    1878";"   128.1";"   118.7"
"86";"T001212";"T001032";"2019MM03";"    1420";"    1997";"   142.4";"   126.3"
"87";"T001212";"T001032";"2019MM04";"    1482";"    2008";"   148.6";"   127.0"
"88";"T001212";"T001032";"2019MM05";"    1218";"    2146";"   122.1";"   135.7"
"89";"T001212";"T001032";"2019MM06";"    1290";"    2021";"   129.3";"   127.8"
"90";"T001212";"T001032";"2019MM07";"    1885";"    2408";"   189.0";"   152.3"
"91";"T001212";"T001032";"2019MM08";"     963";"    1520";"    96.5";"    96.1"
"92";"T001212";"T001032";"2019MM09";"    1286";"    1829";"   128.9";"   115.7"
"93";"T001212";"T001032";"2019MM10";"    1815";"    1963";"   181.9";"   124.2"
"94";"T001212";"T001032";"2019MM11";"    1690";"    1797";"   169.4";"   113.7"
"95";"T001212";"T001032";"2019MM12";"    1740";"    2003";"   174.4";"   126.6"
"96";"T001212";"T001032";"2020MM01";"    1228";"    1886";"   123.1";"   119.3"
"97";"T001212";"T001032";"2020MM02";"    1472";"    1918";"   147.6";"   121.3"
"98";"T001212";"T001032";"2020MM03";"    1652";"    2265";"   165.6";"   143.2"
"99";"T001212";"T001032";"2020MM04";"    1777";"    2061";"   178.2";"   130.4"
"100";"T001212";"T001032";"2020MM05";"    1372";"    1961";"   137.5";"   124.0"
"101";"T001212";"T001032";"2020MM06";"    1566";"    2137";"   157.0";"   135.1"
"102";"T001212";"T001032";"2020MM07";"    2048";"    2284";"   205.3";"   144.4"
"103";"T001212";"T001032";"2020MM08";"    1178";"    1588";"   118.2";"   100.5"
"104";"T001212";"T001032";"2020MM09";"    1728";"    2098";"   173.2";"   132.7"
"105";"T001212";"T001032";"2020MM10";"    1959";"    2041";"   196.4";"   129.1"
"106";"T001212";"T001032";"2020MM11";"    1700";"    2050";"   170.4";"   129.6"
"107";"T001212";"T001032";"2020MM12";"    1994";"    2308";"   199.9";"   146.0"
"108";"T001212";"T001032";"2021MM01";"    1484";"    2136";"   148.8";"   135.1"
"109";"T001212";"T001032";"2021MM02";"    1714";"    2493";"   171.9";"   157.6"
"110";"T001212";"T001032";"2021MM03";"    2464";"    2872";"   247.0";"   181.6"
