"L2_LRHUTTTT","L1_BCCI","L1_BRCI","L1_BSCI","L1_CSCICP02","L3_XTEXVA01","L3_XTIMVA01","L1_AEX","L1_AEXVLT","inflation"
-0.0999999999999996,2.6,-3.4,-4.2,1.5,0.00126241401850002,-0.0635266679317699,-0.06349366955543,0.00795303070814309,-0.5
-0.100000000000001,7.3,0.5,-4.5,3,-1.55802475703126e-05,0.0217017515300899,0.0855400433156701,0.00968018838420398,-0.1
0,6.6,0.699999999999999,-6.3,0.6,0.00528509037809988,-0.0653764999591502,-0.0220726854601603,0.0115140357343949,-0.1
-0.0999999999999996,0,2.7,-6.1,3.4,-0.11764308608121,0.00911258001310022,0.04891428151985,0.0174248645563316,-0.3
-0.100000000000001,0.9,-2.8,-4.9,4,0.09719415086172,0.03334654949676,-0.01610615703314,0.00567004557392208,-0.9
0,-9.4,-1,-4.9,2.6,-0.0737335418442298,-0.0808955492925203,-0.0300564189974297,0.00805958957642974,0.2
0,2.4,3.4,-5.1,2.2,0.0094433800694298,0.0151905936506802,0.00981384419764009,0.0120098051857464,-0.1
-0.0999999999999996,-2.5,0.299999999999997,-6.7,0.3,0.00354088746184011,-0.0100504136851498,-0.0479569945844505,0.0137046396452587,0.4
0,-2.4,-3.3,-5.4,1,-0.0824186804086899,-0.03683581149446,0.00398562753027054,0.0108864999927471,0
0,-3,0,-3.8,0.7,0.0522607635908097,0.0283876133087499,0.0239849614512195,0.00800855852333931,0.1
-0.0999999999999996,2.3,4.9,-4.7,0.9,-0.0650855535311998,-0.0136698047230501,-0.0348252727257696,0.00729052142338764,-1.2
0,-0.3,-6.3,-6.8,-0.2,-0.0174285483058001,0.00511989945501989,-0.0587223935829506,0.0132662657250054,0.1
0,4.6,1.6,-5.7,0.4,0.00533102541007002,0.03637783448257,-0.00651049496448941,0.00710331024199595,0.0999999999999999
0,1.7,-2.2,-6.3,-1.3,-0.0400187422966498,-0.0645464532092901,0.0299902518532997,0.00843520384595949,0
0,-1,0.699999999999999,-7.3,-0.5,0.0767530979893198,0.09560077211458,-0.00151949957260022,0.0131890537284347,0
0,1,-7.2,-7.6,-0.8,-0.00245485534492973,-0.0252032319180899,-0.00372057569639939,0.00794575382205197,0.3
0,0.5,-1.9,-6.8,-2.2,-0.0200665274907901,-0.0438812876090999,0.0742118995709093,0.00777234379764016,0.9
0.0999999999999996,1.8,3.7,-6.5,-4.5,0.03623099466411,0.0315061108317201,0.0544592351603006,0.00763314378205473,0.1
0,-3.5,-0.900000000000002,-5.5,-4,-0.00108409790578001,-0.03932166068976,-0.00759934126743023,0.0106381354011205,0
0,1.1,-2.5,-4.5,0.7,-0.0124384848471699,0.0557446048481598,-0.0215793769520101,0.0118293464856352,-0.1
0,-1.9,1.2,-2.9,-1.8,0.0101489613914998,0.00271271111768012,-0.32399723598106,0.0476004934219108,-0.2
0,2.4,-1.1,-2.4,-3.5,0.00621744613229991,-0.00283116894317992,-0.19487522175488,0.046974973051425,-0.1
0,-3.8,-4.1,-3.9,-2.2,0.0342096131439802,-0.0157048453019999,0.0776939206044895,0.0220432552073056,0.8
0,-0.100000000000001,1.4,-4.8,-3.7,0.0133322527822202,0.05818928736847,0.0322673443639605,0.0238768134863704,-0.1
0,-1.5,1.2,-5.1,-3.5,-0.00278144986477002,0.0314956997266997,0.0892225692781397,0.0107393627630586,0.2
0,4.1,-4.2,-4.9,-3.3,-0.10831283226137,-0.21361201374196,0.0385678173097803,0.0154538080713211,0
0,-1.9,0.799999999999999,-3.1,0.4,0.0651665908267001,0.16642251144302,0.0341402027806899,0.0105258756441225,0
-0.0999999999999996,2.7,2,-3,-0.2,0.0246582625026002,0.00105342956325982,-0.0146323763155802,0.0118383043233537,0.1
0,0.2,5.3,-2.4,-0.3,0.01727297797337,0.00857219794938002,0.11219296001341,0.00968213418038327,0.2
0,2.1,-2.9,-2.4,0.8,0.0189614331780099,0.0138350094852,0.0425989003381799,0.00796060619354489,-0.1
0,4.2,-4.8,-0.4,2.6,-0.00151853603980001,0.0205447545165298,-0.0454671804376003,0.0129109671805383,0
-0.100000000000001,3,4.2,-1.4,1,0.0119204371841399,-0.00906394998932969,0.0421438216473202,0.00673140673416219,-0.2
0,-2.5,3.9,-0.6,2.2,0.0551845180408499,0.00213919041155997,0.0288444270492203,0.00776512217589871,0.3
-0.0999999999999996,1.2,-1.8,0.1,5.7,-0.02665909009957,0.0160155378790798,-0.0349764065337004,0.00936768094988286,0.2
0,-2.8,0.600000000000001,1.3,4.7,0.0129790943190002,0.00719024788031009,0.0760372825628597,0.0071524952928167,-0.4
-0.100000000000001,-1.2,3.6,1.5,4.9,-0.00824589190680003,-0.02620939802999,0.0367915419053002,0.00756089640262426,0.1
0,-3.8,-1.2,0,3,0.00814625344556008,0.0387607532367,-0.0128854179804794,0.00865136535750682,-0.1
-0.0999999999999996,-2,6.7,0.3,5,0.0384129323727498,0.0273177647341698,0.0561526708936793,0.00653908179190703,0.3
