"","h=3","h=6"
"1",0.118116666666667,0.171575
"2",0.143675,0.189941666666667
"3",0.198716666666667,0.229316666666667
"4",0.168891666666667,0.232958333333334
"5",0.232,0.185591666666667
"6",0.241175,0.0883
"7",0.198341666666667,0.0144666666666667
"8",0.206466666666667,0.0303083333333334
"9",0.115908333333333,-0.00648333333333335
"10",0.0315916666666667,0.00648333333333334
"11",0.0224416666666667,-0.0128416666666666
"12",0.0915333333333334,0.28555
"13",0.048875,0.1688
"14",0.0683833333333335,0.110616666666667
"15",0.306791666666667,0.12315
"16",0.106183333333334,0.120933333333333
"17",0.0809583333333334,0.188041666666667
"18",0.140241666666667,0.151508333333333
"19",0.162541666666667,0.174283333333333
"20",0.164691666666667,0.1635
"21",0.149425,0.160358333333333
"22",0.147866666666667,0.0607
"23",0.137383333333333,0.0971916666666667
"24",0.104416666666667,-0.0150083333333333
"25",0.0990416666666667,0.0212416666666667
"26",0.0929333333333334,-0.00114166666666668
"27",0.0115,0.0211583333333333
"28",0.0687166666666667,0.0845666666666666
"29",0.0402583333333334,0.0857416666666666
"30",0.0454333333333333,0.108191666666667
"31",0.100658333333333,0.05555
"32",0.141725,0.00604166666666665
"33",0.0734416666666667,0.0408833333333333
"34",0.08555,0.0498333333333334
"35",0.013175,-0.0197833333333334
"36",0.0465916666666666,-0.0260833333333333
"37",0.0484583333333334,-0.0420166666666667
"38",-0.0202666666666667,-0.0340083333333334
"39",-0.0123666666666667,-0.0973833333333333
"40",-0.0382083333333333,-0.0594333333333333
"41",-0.102416666666667,-0.156416666666667
"42",-0.0926499999999999,-0.0968083333333334
"43",-0.102683333333333,-0.106258333333333
"44",-0.138408333333333,-0.10175
"45",-0.124258333333333,-0.0769083333333334
"46",-0.116883333333333,-0.0938583333333333
"47",-0.09015,-0.0549166666666667
"48",-0.0694833333333333,-0.100583333333333
"49",-0.0871583333333332,-0.0590666666666667
"50",-0.0837416666666667,-0.0804166666666666
"51",-0.0975250000000001,-0.00159166666666669
"52",-0.0785666666666667,-0.0551416666666667
"53",-0.0753416666666666,-0.05345
"54",-0.0128583333333333,-0.0685833333333333
"55",-0.0199416666666667,-0.00820833333333336
"56",-0.0348499999999999,-0.00937500000000002
"57",-0.0390333333333333,-0.0254666666666667
"58",-0.00747500000000002,-0.00703333333333335
"59",-0.00971666666666669,-0.0412333333333334
"60",-0.0156083333333334,-0.00896666666666669
"61",-0.0232333333333333,-0.0151666666666667
"62",-0.00328333333333336,-0.028
"63",-0.00740833333333338,-0.0247
"64",0.00493333333333333,-0.0792833333333333
"65",-0.01165,-0.0749833333333333
"66",-0.038825,-0.0377666666666666
"67",-0.0858166666666667,-0.0630166666666666
"68",-0.0754916666666667,-0.089175
"69",-0.0591083333333334,-0.0476500000000001
"70",-0.0608416666666666,-0.0448333333333333
"71",-0.084525,-0.0149083333333333
"72",-0.0409083333333333,-0.040125
"73",-0.050675,-0.0112333333333333
"74",-0.04915,-0.0667916666666666
"75",-0.0566,-0.0121
"76",-0.035,-2.50000000000165e-05
"77",-0.0629,-0.0153166666666667
"78",-0.00050000000000001,-0.0354583333333333
"79",-0.00190000000000001,-0.0432833333333333
"80",-0.0329333333333333,-0.0775749999999999
"81",-0.0560833333333333,-0.08165
"82",-0.0738,-0.106216666666667
"83",-0.09445,-0.0752416666666667
"84",-0.0747833333333334,-0.06515
"85",-0.0930083333333332,-0.00819166666666666
"86",-0.0583583333333333,-0.04795
"87",-0.0829416666666666,-0.0535666666666667
"88",-0.0420833333333333,-0.0461333333333333
