"","h=3","h=6"
"1",0.090975,0.152441666666667
"2",0.23815,0.188533333333333
"3",0.274316666666667,0.266183333333333
"4",0.309366666666667,0.244866666666667
"5",0.291208333333333,0.254625
"6",0.273891666666667,0.116525
"7",0.142991666666667,-0.006725
"8",0.148641666666667,0.017475
"9",0.0806916666666667,0.00610833333333328
"10",0.0038416666666667,-0.0535916666666666
"11",0.0639916666666666,-0.0135833333333333
"12",0.0683833333333333,0.191933333333333
"13",0.0491083333333334,0.127341666666667
"14",0.0936333333333333,0.165675
"15",0.220316666666667,0.163566666666667
"16",0.0868083333333334,0.131566666666667
"17",0.0583666666666667,0.165275
"18",0.0821916666666667,0.144925
"19",0.1524,0.142058333333333
"20",0.207266666666667,0.1393
"21",0.208533333333333,0.189191666666667
"22",0.182525,0.103491666666667
"23",0.148091666666667,0.0887083333333334
"24",0.117933333333333,0.0196166666666667
"25",0.0623666666666667,0.0214166666666666
"26",0.0678083333333333,0.0103
"27",0.00270833333333334,0.0101333333333333
"28",0.0663666666666666,0.0790833333333333
"29",0.0605416666666667,0.116125
"30",0.05145,0.144958333333333
"31",0.100425,0.0922916666666667
"32",0.107066666666667,-0.011225
"33",0.112116666666667,0.0485083333333333
"34",0.069175,0.0460083333333333
"35",-0.0124666666666667,-0.0378250000000001
"36",0.0386166666666667,-0.027
"37",0.0359,-0.039175
"38",-0.0589583333333333,-0.079075
"39",-0.0405333333333333,-0.0885916666666667
"40",-0.0312416666666667,-0.0783916666666667
"41",-0.0856249999999999,-0.150941666666667
"42",-0.1246,-0.152008333333333
"43",-0.070425,-0.14905
"44",-0.146158333333333,-0.118858333333333
"45",-0.117075,-0.0867416666666666
"46",-0.108075,-0.066675
"47",-0.111958333333333,-0.05385
"48",-0.0992083333333334,-0.0593666666666666
"49",-0.0815333333333333,-0.0667416666666666
"50",-0.0835499999999999,-0.067975
"51",-0.0833916666666666,0.000758333333333331
"52",-0.069425,-0.0722
"53",-0.0175416666666667,-0.0430916666666667
"54",-0.0037166666666667,-0.0467416666666667
"55",-0.0497416666666667,-0.00899166666666665
"56",-0.0474,-0.0104833333333333
"57",-0.0474666666666667,-0.0433833333333333
"58",-0.0110666666666667,-0.000375000000000019
"59",-0.00112499999999999,-0.0224833333333333
"60",-0.0696916666666666,-0.032275
"61",-0.0367,0.00750833333333334
"62",-0.0306333333333333,-0.0289166666666666
"63",-0.0361166666666667,-0.0629166666666667
"64",-0.0303583333333333,-0.076925
"65",-0.0254,-0.0789499999999999
"66",-0.052975,-0.0701666666666667
"67",-0.0853166666666667,-0.0420666666666667
"68",-0.0718666666666667,-0.089225
"69",-0.0571833333333333,-0.0288
"70",-0.0550916666666667,-0.0395666666666667
"71",-0.109958333333333,-0.0296416666666667
"72",-0.0429666666666666,-0.0443083333333333
"73",-0.0403666666666667,-0.022675
"74",-0.0408666666666666,-0.052025
"75",-0.02945,-0.0719666666666667
"76",-0.0188083333333333,-0.000683333333333369
"77",-0.06925,-0.0185666666666666
"78",-0.024,-0.0514083333333334
"79",-0.0179833333333333,-0.107391666666667
"80",-0.0235416666666667,-0.0669083333333334
"81",-0.0422166666666667,-0.0879916666666667
"82",-0.0868583333333333,-0.08725
"83",-0.079425,-0.0702583333333334
"84",-0.076775,-0.0498999999999999
"85",-0.102683333333333,-0.0376333333333333
"86",-0.05855,-0.0471083333333334
"87",-0.0774333333333333,-0.058475
"88",-0.0166166666666667,-0.0354416666666667
"89",-0.0507333333333333,-0.0626166666666667
"90",-0.0644916666666667,-0.0447583333333334
"91",-0.0554583333333334,-0.0617583333333333
"92",-0.0764083333333333,-0.0621166666666667
"93",-0.0319,-0.02285
"94",-0.0770666666666667,-0.00941666666666668
"95",-0.0433166666666668,-0.0556416666666667
