"","h=3","h=6","h=12","h=18","h=24"
"1",0.0803866666666668,0.04807,-0.0227266666666667,0.0201366666666667,0.02108
"2",0.0436433333333333,0.0703300000000002,-0.04391,0.00175333333333334,0.0718100000000001
"3",0.0345166666666667,0.0401666666666667,0.00540999999999999,0.0169666666666667,0.0084
"4",0.0707333333333334,0.10545,4.33333333333229e-05,0.03647,0.0496666666666666
"5",0.0893833333333334,0.0696966666666667,0.0429966666666666,-0.0209533333333333,0.02307
"6",0.0471066666666667,0.04947,0.0494733333333333,-0.0140966666666667,0.0470299999999999
"7",0.0476433333333334,0.00864333333333331,0.02252,-0.01043,-6.00000000000046e-05
"8",0.0655433333333335,0.0569466666666667,0.0584133333333333,0.0129033333333333,0.0355966666666666
"9",0.0763800000000004,0.0657900000000002,0.0739533333333335,0.0443533333333333,0.0470366666666667
"10",0.0739066666666668,0.0718166666666669,0.0598466666666667,0.0279233333333333,0.0457466666666667
"11",0.0547533333333334,0.0709366666666668,0.0746700000000001,0.17697,0.0259366666666667
"12",0.0593633333333335,0.0962033333333337,0.0800533333333335,0.0744666666666667,0.0456566666666667
"13",0.0592833333333334,0.0878266666666669,0.0516466666666667,0.0476733333333333,0.0376633333333334
"14",0.0843933333333335,0.0584766666666668,0.0687466666666668,0.155346666666667,0.0805133333333335
"15",0.0853500000000002,0.0992233333333337,0.0918566666666671,0.0542833333333333,0.0827000000000002
"16",0.0671900000000002,0.0800566666666669,0.105776666666667,0.04609,0.0532633333333334
"17",0.0968500000000003,0.0773366666666668,0.0864300000000003,0.05591,0.0535866666666667
"18",0.0897533333333338,0.0831300000000002,0.0939800000000004,0.0776933333333335,0.16894
"19",0.0792700000000002,0.12364,0.114650000000001,0.0834366666666668,0.0699766666666667
"20",0.0688266666666667,0.0775400000000002,0.0973200000000003,0.06965,0.0732633333333334
"21",0.0547433333333333,0.0747300000000001,0.0806400000000003,0.112353333333334,0.0451633333333333
"22",0.0529166666666666,0.0508,0.0634566666666666,0.0498966666666667,0.0512766666666667
"23",0.0488466666666667,0.0345866666666666,0.0381633333333333,0.0701166666666668,0.01806
"24",0.03231,-0.00307333333333327,0.05096,0.0766800000000002,0.0100666666666667
"25",0.03356,0.04105,0.104636666666667,0.032,0.0311766666666666
"26",0.0592366666666667,0.0629733333333333,0.0976766666666668,0.0611233333333334,0.0863133333333335
"27",0.0303299999999999,0.0484933333333333,0.0681133333333335,0.0581566666666667,0.03999
"28",0.0336066666666667,0.0256966666666666,0.0538466666666667,0.0508299999999999,0.0389866666666667
"29",0.0396466666666667,-0.00924666666666661,0.00494666666666666,0.0168166666666667,0.01595
"30",0.0313166666666667,-0.0261533333333333,-0.0194266666666666,-0.00654999999999998,-0.0192766666666666
"31",-0.0124233333333333,0.00477333333333336,0.00745333333333332,0.00357000000000003,-0.02138
"32",0.00719333333333332,-0.000209999999999992,0.01708,0.01043,-0.00192666666666668
"33",0.0323033333333333,0.0255866666666667,0.00630333333333337,-0.01329,0.0064933333333334
"34",0.0163466666666667,0.03025,-0.0421566666666667,0.00311666666666669,0.01097
"35",0.0432466666666667,0.0464833333333333,-0.03205,0.0259066666666666,0.0081466666666667
"36",0.05793,0.0258533333333333,0.00491666666666667,0.01389,0.285573333333333
"37",0.0523266666666668,0.0482333333333335,0.00642333333333339,0.01518,0.0280333333333333
"38",0.0509166666666667,0.0389733333333334,0.01293,0.0277233333333333,-0.02908
"39",0.0376366666666666,0.0479633333333334,0.0242133333333334,0.0215833333333333,-0.0136533333333334
"40",0.02774,0.01421,0.02147,-0.00179333333333334,-0.0291633333333334
"41",0.00379333333333334,0.0468533333333334,0.0478266666666667,-0.0317333333333333,0.01663
"42",0.01552,0.0149666666666667,0.0172866666666667,-0.01635,-0.0349433333333333
"43",-0.01631,-0.00688666666666666,0.00443333333333332,-0.03794,-0.0444700000000001
"44",-0.0194,-0.01932,0.0375266666666667,-0.0161133333333334,-0.0166433333333333
"45",0.0574500000000001,0.0220399999999999,0.0555833333333334,0.02686,-0.0285166666666667
"46",0.00845000000000001,0.00242333333333335,0.0313233333333333,-0.00885333333333331,0.00919333333333336
"47",-0.0321533333333333,-0.02391,0.000909999999999994,-0.00753000000000007,-0.05017
"48",-0.04262,-0.0427333333333334,-0.00228333333333339,-0.00365999999999999,-0.0531133333333334
"49",-0.0750800000000001,-0.0202966666666667,-0.0312966666666667,-0.0398133333333333,-0.0565066666666666
"50",-0.0677466666666667,-0.0518633333333334,-0.02951,-0.0189433333333333,-0.0292033333333334
"51",-0.04939,-0.0206066666666667,0.0121933333333334,0.00256333333333332,-0.0295133333333333
"52",-0.0222666666666667,-0.03895,-0.01721,-0.05506,-0.0271366666666666
"53",-0.0493766666666667,-0.04509,-0.03948,-0.0448533333333333,0.00532000000000002
"54",-0.0601633333333335,-0.0377600000000001,-0.01527,-0.0195233333333333,-0.01384
"55",-0.0760700000000002,-0.0528000000000001,0.01988,-0.0411333333333333,-0.0296266666666666
"56",-0.0623266666666667,-0.0824300000000003,-0.0576066666666668,-0.0811966666666669,-0.0648900000000001
"57",-0.0774100000000003,-0.0519666666666668,-0.0133966666666667,-0.0368999999999999,-0.0373966666666667
"58",-0.0604866666666669,-0.0448866666666667,-0.0389499999999999,-0.04136,-0.0697566666666668
"59",-0.0329166666666666,-0.0699800000000002,-0.0419833333333334,-0.0227533333333333,-0.0527
"60",-0.0532200000000001,-0.0754600000000002,-0.0612166666666667,-0.01416,-0.0717366666666667
"61",-0.0683866666666667,-0.0620533333333334,-0.0186466666666666,0.00688666666666665,-0.0617466666666667
"62",-0.0711566666666668,-0.0526833333333334,-0.0636033333333333,-0.0528000000000001,-0.0610300000000002
"63",-0.0742733333333335,-0.05351,-0.0612633333333335,0.00733333333333335,-0.0638433333333335
"64",-0.0708533333333337,-0.0716500000000003,-0.0689700000000001,-0.0157933333333333,-0.04895
"65",-0.0337966666666667,-0.0512933333333334,-0.0601166666666668,-0.0173833333333333,-0.0297666666666667
"66",-0.0685566666666668,-0.081916666666667,-0.0685966666666667,-0.02063,-0.0251533333333333
"67",-0.0529466666666668,-0.0905800000000005,-0.0619733333333335,-0.0273633333333333,-0.04116
"68",-0.0980000000000004,-0.101546666666667,-0.0870000000000004,-0.0699833333333335,-0.05849
"69",-0.0714766666666668,-0.0819133333333336,-0.0650933333333334,-0.0571866666666668,-0.0392233333333333
"70",-0.0962766666666669,-0.0861600000000003,-0.006,-0.0726766666666669,-0.0768233333333335
"71",-0.0911766666666671,-0.090246666666667,-0.00672,-0.104056666666667,-0.0674366666666668
"72",-0.084896666666667,-0.0509933333333334,-0.0642666666666667,-0.0786733333333336,-0.0809433333333335
"73",-0.0875666666666671,-0.0700000000000001,-0.0788466666666669,-0.0835033333333336,-0.0916600000000003
"74",-0.0903233333333337,-0.0735333333333335,-0.0608566666666668,-0.101956666666667,-0.0866200000000003
"75",-0.0750066666666669,-0.0922300000000005,-0.0732300000000001,-0.0661033333333334,-0.0620566666666669
"76",-0.0921200000000005,-0.0749766666666669,0.12863,-0.0986866666666672,-0.0537966666666667
"77",-0.0548400000000001,-0.0627233333333334,0.0424866666666667,-0.04453,-0.0618266666666668
"78",-0.0528066666666667,-0.04839,-0.00102666666666668,-0.0636100000000001,-0.0370133333333333
"79",0.0596799999999999,-0.03399,0.03468,-0.0517333333333334,-0.0647300000000002
"80",-0.0419966666666667,-0.03445,-0.00708999999999999,-0.0593066666666667,-0.0400533333333333
"81",-0.0630000000000003,-0.0446966666666667,-0.0373666666666667,-0.0379833333333333,-0.0576800000000001
"82",-0.0533600000000001,-0.0636333333333335,-0.0591666666666667,-0.0501900000000001,-0.0675033333333336
"83",-0.0683533333333336,-0.069136666666667,-0.04578,-0.0749000000000002,-0.083286666666667
"84",-0.0592866666666668,-0.0524766666666667,-0.0427266666666667,-0.0441033333333334,-0.0620933333333335
"85",-0.0508333333333334,-0.0539566666666667,-0.0595133333333334,-0.0238133333333333,-0.0259633333333333
"86",-0.0825700000000002,-0.0739533333333335,-0.05372,-0.05629,-0.0750300000000001
"87",-0.0785100000000003,-0.0567466666666666,-0.0487400000000001,-0.0706666666666668,-0.0693000000000002
"88",-0.06672,-0.0721600000000002,-0.0686333333333334,-0.05816,-0.0633833333333333
"89",-0.0603833333333335,-0.0672633333333335,-0.0661866666666668,-0.05359,-0.0681200000000002
"90",-0.0785433333333335,-0.05024,-0.01499,0.01581,-0.0471166666666667
"91",-0.0462033333333333,-0.0256166666666667,-0.0168733333333333,-0.00565666666666668,-0.04126
"92",-0.0361433333333333,-0.0263233333333333,-0.01613,0.00318666666666665,-0.00130333333333335
"93",-0.0597933333333334,-0.0161366666666667,-0.02087,-0.00404666666666667,-0.0171633333333333
"94",-0.0757500000000002,-0.0312466666666667,-0.0369666666666667,-0.0470166666666667,-0.01539
"95",-0.0573866666666667,-0.0214033333333334,-0.0466633333333334,-0.02762,-0.0141666666666667
"96",-0.0669366666666667,-0.04188,-0.06325,-0.0425733333333333,-0.0277
"97",-0.0907800000000004,-0.0758566666666668,-0.07106,-0.0178466666666667,-0.0300633333333333
"98",-0.0760433333333335,-0.0617466666666666,-0.04414,-0.0409766666666667,-0.03668
"99",-0.00554333333333334,-0.0565533333333334,-0.05281,0.01218,0.0125533333333333
"100",0.0399566666666667,0.01385,0.0765099999999999,-0.00135333333333331,0.108913333333333
"101",0.0313833333333333,0.00918333333333332,0.0330833333333333,-0.00253999999999999,0.00887333333333334
"102",0.303596666666666,0.30296,0.217953333333333,0.27011,0.263053333333333
"103",0.130466666666667,0.182013333333333,0.14577,0.156033333333333,0.20866
"104",0.0962100000000001,0.12499,0.100853333333333,0.09772,0.09458
"105",0.0390033333333333,0.0570066666666666,0.0635333333333333,0.0371100000000001,-0.01267
"106",0.0289,0.00698333333333334,0.00413666666666668,-0.0265533333333333,-0.0329233333333333
"107",-0.0195833333333333,0.00398333333333337,-0.0800133333333334,-0.0393066666666667,-0.0858833333333335
"108",-0.03882,-0.0158766666666666,0.0282066666666667,-0.05968,-0.0751300000000002
"109",-0.0844466666666669,-0.06298,0.00129333333333336,-0.0855400000000003,-0.10196
"110",-0.0600666666666668,-0.0351366666666667,0.00217000000000005,-0.0626866666666667,-0.0754933333333335
"111",-0.0844100000000003,-0.0684133333333335,-0.01907,-0.0697566666666667,-0.0752633333333336
"112",-0.0659500000000002,-0.0646933333333334,0.190173333333333,-0.0277866666666666,-0.0530133333333334
"113",-0.0595966666666667,-0.0680933333333335,0.100433333333333,-0.04682,-0.0868400000000003
"114",-0.0707433333333334,-0.112273333333334,-0.0517866666666666,-0.03202,-0.0388066666666667
"115",-0.0654033333333335,-0.0814633333333335,-0.0454800000000001,-0.082936666666667,-0.0312966666666667
"116",-0.0353,-0.02382,-0.0172300000000001,0.0149666666666667,-0.00300999999999997
"117",-0.0616333333333334,-0.0430066666666667,-0.0658033333333335,-0.0338733333333333,-0.0401933333333334
"118",-0.0545233333333333,-0.0583666666666667,-0.0611733333333333,-0.0704666666666667,-0.0442900000000001
"119",-0.0628633333333333,-0.0461833333333334,-0.0908266666666669,-0.104656666666667,-0.107396666666667
"120",-0.0389733333333333,-0.0581100000000001,-0.0565633333333334,-0.00498,-0.01603
