"pub_date","L2_LRHUTTTT","L1_BCCI","L1_BRCI","L1_BSCI","L1_CSCICP02","L3_XTEXVA01","L3_XTIMVA01","L1_AEX","L1_AEXVLT","inflation","Perioden","Prijsindex_5","buildpermits","faillisementen","Consumentenvertrouwen_1","EconomischKlimaat_2","Koopbereidheid_3","EconomischeSituatieLaatste12Maanden_4","EconomischeSituatieKomende12Maanden_5","FinancieleSituatieLaatste12Maanden_6","FinancieleSituatieKomende12Maanden_7","GunstigeTijdVoorGroteAankopen_8","dax","cac40","ftse","sp500","fin_stress","GAS_EU","OIL_BRENT","GOLD","Short_interest","Long_interest"
"1990-03-15",6.3,4.5,26.6,0.6,5.3,2.74199995122519,2.68105897632225,5.33117469619373,0.0114303429291895,2.3,"1990MM03",82.3,3261,327,-14,-34,0,-54,-14,5,4,-8,7.58413771320935,7.58680353516258,7.71775168259505,5.82876913863108,0.0594,"1,58","31,02","1715,91",8.8,8.98
"1990-04-15",6.3,0.6,29.2,-0.6,6.1,2.71785296721826,2.69763708827756,5.41140470529055,0.00923455404286449,2.2,"1990MM04",82.4,3346,270,-9,-24,1,-45,-3,5,4,-7,7.50268858679884,7.62364194651157,7.65131031565812,5.80151392624799,0.0417,"1,75","39,93","1732,22",8.57,8.89
"1990-05-15",6.2,-3,31.1,0,5.4,2.72096683719723,2.68364506260483,5.38038765593225,0.00959486392360834,2.3,"1990MM05",82.5,3230,318,-5,-16,1,-38,7,5,6,-6,7.51572028544938,7.65302041380419,7.76008336553707,5.8895149049859,0.0411,"1,80","42,81","1846,51",8.48,8.95
"1990-06-15",6.2,-2.9,32.6,0.8,4.9,2.72155433253623,2.67839797178169,5.4067950180747,0.00553997330870969,2.3,"1990MM06",82.5,3450,284,-4,-12,2,-35,12,4,7,-6,7.54150804158948,7.6182510978767,7.77258432235704,5.88058882007569,0.0666,"2,86","44,26","1968,63",8.36,8.96
"1990-07-15",6.1,-2,27.7,1,5.1,2.69651095923689,2.6394602042769,5.42056042181581,0.00446049214498304,2.4,"1990MM07",82.6,3701,276,0,-4,2,-26,19,2,9,-6,7.56160016594121,7.58324752430336,7.75199129291443,5.87535197328688,0.0481,"3,95","41,09","1921,92",8.27,8.74
"1990-08-15",6.1,-0.7,29.6,-0.3,4.3,2.69969976619297,2.74662904870018,5.38942300664923,0.00557580126598423,2.4,"1990MM08",82.4,2759,270,1,0,1,-18,18,2,10,-7,7.39142140604966,7.43248380791712,7.6791589800842,5.77628915787411,0.1116,"4,89","40,47","1900,27",8.54,8.99
"1990-09-15",6,-1.6,27.3,-0.6,1,2.74454303609624,2.68312086863556,5.25093549742898,0.019770145821808,2.7,"1990MM09",82.5,3132,321,6,13,2,-2,28,2,12,-8,7.19141425462154,7.3125534981026,7.59599039064678,5.72374844741134,0.0732,"4,84","43,23","1866,30",8.51,9.16
"1990-10-15",6,-1.9,28.4,-0.6,-1.4,2.74348576523321,2.67984676875504,5.14407175858867,0.0122547494097098,2.9,"1990MM10",82.6,3329,331,12,26,4,15,36,3,12,-5,7.26857163542142,7.40549566319947,7.62574142670411,5.71702770140622,0.0515,"5,86","49,87","1858,42",8.51,9.19
"1990-11-15",6,0.5,22.4,-2.2,-3.2,2.7311156618521,2.69887040217602,5.17116016625375,0.0151067388216938,2.8,"1990MM11",82.7,3073,303,10,21,2,12,30,2,10,-5,7.27001356919355,7.38087903556412,7.67294396697286,5.77523454585126,0.037,"7,27","54,55","1866,98",8.82,9.13
"1990-12-15",5.9,-0.4,25,-2.1,-6.3,2.73515711285301,2.71110863711029,5.15875775880717,0.00842023331551908,2.6,"1990MM12",82.6,2648,211,9,19,2,13,24,1,9,-4,7.2365912735801,7.31920245876785,7.67019528603803,5.79975910270032,0.04,"6,16","61,96","1808,17",9.4,9.06
"1991-01-15",5.9,1.9,23,-1.4,-5.2,2.77434602930621,2.69266504037531,5.16114437812892,0.00823748249920611,3.2,"1991MM01",83.6,2843,324,3,8,0,1,14,-1,7,-5,7.25922874244552,7.36518012602101,7.68262070832527,5.84043812699907,0.0633,"6,13","65,19","1718,23",9.42,9.15
"1991-02-15",5.9,-0.4,21.8,-2.5,-9.9,2.7363022191035,2.69653213794541,5.17980876370355,0.015766387701426,2.9,"1991MM02",83.7,2632,319,2,7,-1,-1,15,-4,6,-6,7.35528957218496,7.4730690880322,7.77523380542833,5.90555258551485,0.0513,"7,15","64,77","1760,04",9.1,8.64
"1991-03-15",5.8,-3.5,23.6,-4.2,-9.9,2.72516919104992,2.66670953368262,5.27450045817208,0.0103211029090142,3.2,"1991MM03",83.6,2758,337,8,16,2,10,23,-1,10,-3,7.3233818811255,7.50439155916124,7.8064928516087,5.92751252386876,0.04,"8,91","68,04","1850,26",9.13,8.66
"1991-04-15",5.8,-4,22.5,-2.9,-5.3,2.74248202441546,2.67788305261766,5.34588252764964,0.00943669296658986,3.1,"1991MM04",83.8,2894,290,12,23,5,19,26,3,12,0,7.38204346327396,7.48380668766583,7.81851069971795,5.92783227210635,0.0936,"10,30","73,07","1834,57",9.19,8.57
"1991-05-15",5.8,-3.5,21.5,-5.8,-7.9,2.7295733512043,2.69789864537924,5.35145728962333,0.00938652732953018,3.2,"1991MM05",83.9,3127,343,11,18,6,16,20,3,12,1,7.44305493203628,7.52929906700101,7.82384599085363,5.96571071221179,0.039,"12,51","74,39","1807,84",9.13,8.59
"1991-06-15",5.8,-6.3,20.3,-4.9,-5.9,2.76857637182319,2.6699073280168,5.35654414498523,0.00649154893048544,3.4,"1991MM06",83.9,3169,315,12,20,7,18,21,5,11,4,7.39248123842458,7.46599868334416,7.78937176714263,5.91663324635164,0.0825,"15,43","70,02","1785,28",9.15,8.64
"1991-07-15",5.7,-7.4,15.2,-5.6,-5.9,2.72205318225971,2.70641186922549,5.32706108701701,0.00612708412534213,4.5,"1991MM07",83.9,3484,336,9,14,6,13,15,4,12,3,7.38974308463705,7.47005315319209,7.85894974572547,5.9605155226686,0.0537,"22,84","74,60","1775,14",9.17,8.82
"1991-08-15",5.7,-5.4,21.1,-6,-8.1,2.74505022519815,2.69538553110197,5.33569404544734,0.00488303175980152,4.6,"1991MM08",83.9,2937,287,10,13,8,14,12,7,13,4,7.40845784000767,7.53064095278474,7.88069094110659,5.97997376187032,0.0882,"31,05","83,65","1776,85",9.34,8.84
"1991-09-15",5.7,-9.8,23.4,-4.9,-8.9,2.74483560122904,2.68099556261215,5.33010251620498,0.0127965006449538,4.4,"1991MM09",84.1,3175,302,14,19,10,19,20,9,15,6,7.38117180952407,7.53934614108109,7.871578222677,5.96064441200076,0.0584,"27,62","80,77","1821,76",9.3,8.77
"1991-10-15",5.7,-10.4,19.2,-4.2,-8,2.7781108247536,2.76090409491231,5.29784952822323,0.00309772432946061,4.5,"1991MM10",84,3434,453,14,18,11,17,19,9,15,7,7.36503455846454,7.52655597102252,7.85010354517558,5.9724091716775,0.0589,"38,03","74,31","1790,43",9.33,8.72
"1991-11-15",5.7,-8.4,22,-6.3,-10.4,2.75032787083847,2.66389441578764,5.30257175882238,0.0056636185734201,4.8,"1991MM11",83.9,3074,419,17,25,12,23,26,10,17,9,7.35950586731482,7.46146793538473,7.79160544018871,5.92751252386876,0.0909,"28,26","85,53","1816,02",9.42,8.75
"1991-12-15",5.7,-8.9,20.7,-4.1,-9.4,2.72197879327871,2.68685965772714,5.30350994210258,0.00865880125108324,4.9,"1991MM12",83.9,2886,350,17,24,11,23,25,10,17,8,7.36344444971992,7.47630246355772,7.82128223420417,6.03330201706942,0.111,"27,23","95,76","1856,30",9.7,8.72
