"","h=3","h=6","h=12","h=18","h=24"
"1",0.0612400000000001,0.0645700000000001,-0.0529033333333334,0.0355733333333333,0.0344599999999999
"2",0.0629,0.0513666666666668,-0.0413833333333334,-0.00125000000000003,-0.00521666666666666
"3",0.0374733333333334,0.0295766666666667,-0.04115,0.0922266666666667,0.0592966666666666
"4",0.0650133333333334,0.177046666666666,0.02503,0.08983,0.0208833333333333
"5",0.0714300000000001,0.0709066666666668,0.03982,0.0414333333333334,0.0554266666666666
"6",0.0736733333333334,0.0610066666666667,0.0865333333333333,0.0327266666666667,0.0369666666666666
"7",0.0743733333333337,0.0607400000000001,0.0781133333333337,0.02403,0.0289133333333333
"8",0.0670133333333336,0.0593600000000001,0.0608500000000001,0.0201033333333333,0.00510999999999999
"9",0.0484800000000001,0.0661166666666668,0.0891400000000002,0.0392333333333333,0.0317199999999999
"10",0.074476666666667,0.0804900000000003,0.0650433333333335,0.0518566666666667,0.0521733333333334
"11",0.095926666666667,0.115630000000001,0.134603333333334,0.142863333333334,0.06486
"12",0.0966500000000004,0.0754600000000001,0.0861766666666668,0.0747866666666667,0.0438566666666666
"13",0.0726533333333336,0.0801500000000002,0.0585833333333333,0.0796233333333334,0.0463666666666667
"14",0.107480000000001,0.110210000000001,0.0818533333333335,0.0729600000000001,0.0665066666666666
"15",0.114756666666667,0.121280000000001,0.138886666666667,0.0882466666666668,0.07186
"16",0.115023333333334,0.112136666666667,0.0701333333333333,0.06106,0.0498833333333334
"17",0.0972833333333338,0.123883333333334,0.04367,0.0608133333333334,0.0674766666666668
"18",0.114186666666667,0.109420000000001,0.0718933333333333,0.0621666666666667,0.0628200000000001
"19",0.0989400000000004,0.111156666666667,0.0999833333333336,0.0898000000000003,0.0821333333333335
"20",0.094796666666667,0.0783466666666668,0.0785666666666667,0.0780233333333335,0.0833333333333336
"21",0.0820500000000002,0.0377699999999999,0.0539766666666666,0.0597899999999999,0.0739066666666667
"22",0.0362533333333333,0.0522066666666666,0.04125,0.0551733333333333,0.0406966666666667
"23",0.0193933333333333,0.03392,0.02855,0.04197,0.03756
"24",0.00762,0.03155,0.04126,0.0416733333333333,0.0556366666666668
"25",0.0134799999999999,0.0267266666666666,0.02952,0.0668100000000001,0.0696666666666669
"26",0.0307699999999999,0.0299233333333333,0.0362833333333333,0.0735533333333335,0.0790766666666669
"27",0.00662999999999997,0.00471999999999997,0.0393566666666666,0.05649,0.0567800000000001
"28",-0.0185133333333333,-0.0236966666666666,0.00116333333333333,0.0167333333333333,0.0241533333333333
"29",-0.0325899999999999,-0.00673333333333331,-0.00550999999999995,0.0111566666666667,0.0132366666666667
"30",-0.0762166666666668,-0.0289599999999999,-0.0335099999999999,-0.0433766666666666,-0.0196466666666666
"31",-0.0593666666666668,-0.0518633333333334,-0.0558800000000001,-0.0251066666666667,0.02683
"32",-0.0582066666666668,-0.0640133333333335,-0.0409700000000001,-0.0399333333333334,-0.00730333333333335
"33",-0.0582700000000002,-0.0474,-0.0546500000000002,-0.0398,-0.02356
"34",-0.0289333333333333,-0.0448333333333334,-0.0409966666666668,-0.00289333333333333,0.000416666666666668
"35",-0.0247633333333333,-0.0227666666666666,-0.03222,0.00692666666666666,-0.0199833333333333
"36",-0.00472000000000003,0.00638333333333325,-0.0215466666666667,0.00826999999999998,0.00788666666666666
"37",-0.0133,0.0104433333333334,-0.00962333333333329,0.0252900000000001,0.0112033333333334
"38",-0.01857,-0.0123166666666667,-0.02717,-0.0245633333333334,-0.02576
"39",-0.0418966666666668,-0.0115633333333334,-0.0512900000000001,-0.0360300000000001,-0.0170966666666667
"40",-0.0673166666666668,-0.03552,-0.0327633333333334,-0.0179333333333334,-0.01263
"41",-0.0524733333333334,-0.01955,-0.02464,-0.01481,-0.02527
"42",-0.0693066666666668,-0.0653300000000002,-0.04937,-0.0227633333333333,-0.03771
"43",-0.0629200000000001,-0.0778266666666669,-0.0596333333333334,-0.0462366666666667,-0.0619966666666667
"44",-0.0586066666666668,-0.0585933333333334,-0.0187333333333334,-0.02487,-0.03196
"45",-0.0425566666666667,-0.0511933333333334,-0.0369,0.0033733333333333,0.00188666666666663
"46",-0.01162,-0.0129866666666667,0.0644200000000002,0.0174733333333333,0.0349666666666667
"47",-0.0254733333333333,-0.0567666666666666,-0.0345133333333333,-0.00492,-0.00571
"48",-0.0399933333333333,-0.0116666666666667,-0.0574866666666667,-0.0409633333333334,0.00342999999999998
"49",-0.0577399999999999,-0.0325233333333333,-0.05318,-0.0303566666666666,-0.0119633333333334
"50",-0.00917333333333336,-0.00751000000000003,-0.0506266666666666,0.0444433333333333,0.0136266666666667
"51",-0.04427,-0.0576166666666667,-0.0751400000000002,-0.0166566666666667,-0.00457999999999999
"52",-0.00165000000000002,-0.00270666666666666,-0.0487133333333333,0.0228066666666667,-0.0195966666666667
"53",-0.0365533333333333,-0.0306,-0.05314,-0.02729,-0.0246566666666666
"54",-0.03721,-0.0489366666666667,-0.0173066666666667,-0.02995,-0.03652
"55",-0.0475000000000001,-0.0407133333333334,-0.0260166666666667,-0.0536300000000002,-0.0474
"56",-0.0793833333333334,-0.03546,-0.05305,-0.0630066666666667,-0.0642833333333334
"57",-0.0697833333333336,-0.04606,-0.0688466666666668,-0.06915,-0.05054
"58",-0.0580133333333334,-0.0561766666666668,0.03278,-0.0605366666666667,-0.0480366666666668
"59",-0.0607000000000001,-0.0518633333333334,0.0736233333333335,-0.0612300000000001,-0.0569766666666668
"60",-0.0692833333333334,-0.0734466666666668,0.0564033333333335,-0.0323866666666667,-0.0748766666666668
"61",-0.0618433333333334,-0.0398266666666667,0.0476466666666668,0.0313933333333333,-0.02241
"62",-0.0766766666666669,-0.0445000000000001,0.0300633333333333,-0.05688,-0.0370166666666667
"63",-0.0623066666666668,-0.0463033333333334,0.0156966666666666,-0.0456833333333334,-0.0475466666666668
"64",-0.0768733333333336,-0.0497400000000001,0.0231066666666666,0.02378,-0.0475566666666668
"65",-0.0672366666666668,-0.0550433333333334,0.00311666666666664,0.0228033333333333,-0.0546100000000001
"66",-0.0534133333333334,-0.04466,-0.01582,0.00402999999999998,-0.0541633333333334
"67",-0.0715700000000002,-0.0790833333333336,-0.0318733333333333,-0.0197666666666666,-0.0444166666666667
"68",-0.0759833333333335,-0.0708733333333336,-0.0375566666666667,-0.0301366666666666,-0.0664133333333335
"69",-0.076306666666667,-0.0672666666666668,-0.0219766666666667,-0.0296033333333333,-0.0487233333333334
"70",-0.0833233333333336,-0.0809166666666669,-0.0663266666666668,-0.0369233333333333,-0.0742300000000001
"71",-0.0793000000000001,-0.0737166666666668,-0.0622500000000001,-0.0418,-0.0594233333333334
"72",-0.0928333333333337,-0.0645366666666668,-0.0623966666666667,-0.0355466666666666,-0.0418133333333333
"73",-0.0817400000000002,-0.0724500000000001,-0.0894400000000004,-0.0630033333333333,-0.0625133333333333
"74",-0.05948,-0.0788666666666669,-0.0775266666666669,-0.0688033333333335,-0.0757000000000003
"75",-0.0729466666666667,-0.0803566666666669,-0.0855800000000003,-0.0736233333333335,-0.0681866666666668
"76",-0.0674200000000001,-0.0763566666666669,-0.0860900000000003,-0.0793733333333336,-0.0661333333333335
"77",-0.0511033333333334,-0.05605,-0.0780033333333336,-0.0468999999999999,-0.0357733333333333
"78",-0.0655566666666668,-0.0626066666666667,-0.0596200000000001,-0.0333833333333333,-0.0381800000000001
"79",-0.0414733333333333,-0.04727,-0.0495566666666667,-0.0532166666666667,-0.03905
"80",-0.0556766666666667,-0.0528233333333334,-0.03992,-0.0374066666666667,-0.0377866666666667
"81",-0.0692000000000002,-0.0580033333333334,-0.0598066666666667,-0.0605866666666667,-0.0707033333333335
"82",-0.0545033333333335,-0.0422533333333333,-0.0482533333333334,-0.0584366666666668,-0.0563500000000001
"83",-0.0477466666666667,-0.0581500000000001,-0.0683666666666668,-0.0580100000000001,-0.02739
"84",-0.0441133333333334,-0.0329766666666666,-0.0653766666666668,-0.0480700000000001,-0.03022
"85",-0.0363766666666667,-0.0369166666666667,-0.0548533333333334,-0.0428833333333334,-0.03717
"86",-0.02874,-0.0420433333333333,-0.0505200000000001,-0.05395,-0.0577966666666666
"87",-0.0518466666666667,-0.0318433333333333,-0.0383933333333333,-0.0453566666666667,-0.0468533333333334
"88",-0.0481466666666667,0.00869333333333333,-0.0404533333333335,-0.0662233333333335,-0.0569633333333334
"89",-0.0308666666666666,0.0109133333333333,-0.0345566666666666,-0.0462700000000001,-0.0577533333333334
"90",-0.0397266666666667,0.00193666666666668,-0.03276,-0.01859,0.000443333333333371
"91",-0.00138666666666665,0.02445,-0.0256166666666667,-0.0235033333333333,0.000726666666666688
"92",-0.000773333333333326,0.0383366666666667,-0.0118766666666667,-0.01928,0.0212
"93",0.01101,0.0234799999999999,-0.01189,-0.0238966666666667,0.00671333333333333
"94",-0.00414333333333333,0.03109,0.01627,-0.01529,-0.0170933333333333
